                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,L_0_entry_rate  ,  R-squared:         ,0.7699   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.7620   
No. Observations:,9412            ,  F-statistic:       ,2.65e+05 
Date:            ,Tue, Sep 20 2022,  P-value (F-stat)   ,0.0000   
Time:            ,09:53:40        ,  Distribution:      ,chi2(315)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.2111]      ,-0.7685  ,0.3400   ,-2.2601,0.0238 ,-1.4350 ,-0.1021 
C(sector)[T.2121]      ,-0.7296  ,0.3413   ,-2.1379,0.0325 ,-1.3984 ,-0.0607 
C(sector)[T.2122]      ,-0.7064  ,0.3405   ,-2.0744,0.0380 ,-1.3739 ,-0.0390 
C(sector)[T.2123]      ,-0.7821  ,0.3399   ,-2.3008,0.0214 ,-1.4483 ,-0.1159 
C(sector)[T.2131]      ,-0.7295  ,0.3397   ,-2.1474,0.0318 ,-1.3954 ,-0.0637 
C(sector)[T.2211]      ,-0.8051  ,0.3494   ,-2.3042,0.0212 ,-1.4900 ,-0.1203 
C(sector)[T.2212]      ,-0.7842  ,0.3479   ,-2.2540,0.0242 ,-1.4661 ,-0.1023 
C(sector)[T.2213]      ,-0.8035  ,0.3486   ,-2.3049,0.0212 ,-1.4867 ,-0.1202 
C(sector)[T.2361]      ,-0.5226  ,0.2902   ,-1.8010,0.0717 ,-1.0914 ,0.0461  
C(sector)[T.2362]      ,-0.5864  ,0.2907   ,-2.0172,0.0437 ,-1.1562 ,-0.0166 
C(sector)[T.2371]      ,-0.6050  ,0.2902   ,-2.0844,0.0371 ,-1.1738 ,-0.0361 
C(sector)[T.2372]      ,-0.5199  ,0.2913   ,-1.7850,0.0743 ,-1.0908 ,0.0510  
C(sector)[T.2373]      ,-0.6176  ,0.2909   ,-2.1231,0.0337 ,-1.1877 ,-0.0474 
C(sector)[T.2379]      ,-0.5832  ,0.2913   ,-2.0024,0.0452 ,-1.1541 ,-0.0124 
C(sector)[T.2381]      ,-0.5652  ,0.2905   ,-1.9454,0.0517 ,-1.1347 ,0.0042  
C(sector)[T.2382]      ,-0.5821  ,0.2900   ,-2.0068,0.0448 ,-1.1505 ,-0.0136 
C(sector)[T.2383]      ,-0.5434  ,0.2903   ,-1.8719,0.0612 ,-1.1123 ,0.0256  
C(sector)[T.2389]      ,-0.5564  ,0.2899   ,-1.9191,0.0550 ,-1.1247 ,0.0118  
C(sector)[T.3111]      ,-0.9711  ,0.4244   ,-2.2881,0.0221 ,-1.8029 ,-0.1393 
C(sector)[T.3112]      ,-0.9722  ,0.4252   ,-2.2865,0.0222 ,-1.8056 ,-0.1388 
C(sector)[T.3113]      ,-0.9546  ,0.4253   ,-2.2444,0.0248 ,-1.7882 ,-0.1210 
C(sector)[T.3114]      ,-0.9624  ,0.4255   ,-2.2618,0.0237 ,-1.7965 ,-0.1284 
C(sector)[T.3115]      ,-0.9732  ,0.4244   ,-2.2930,0.0218 ,-1.8051 ,-0.1414 
C(sector)[T.3116]      ,-0.9782  ,0.4246   ,-2.3037,0.0212 ,-1.8104 ,-0.1460 
C(sector)[T.3117]      ,-0.9656  ,0.4245   ,-2.2748,0.0229 ,-1.7975 ,-0.1337 
C(sector)[T.3118]      ,-0.9345  ,0.4253   ,-2.1973,0.0280 ,-1.7681 ,-0.1009 
C(sector)[T.3119]      ,-0.9402  ,0.4259   ,-2.2073,0.0273 ,-1.7750 ,-0.1053 
C(sector)[T.3121]      ,-0.8911  ,0.4271   ,-2.0862,0.0370 ,-1.7282 ,-0.0539 
C(sector)[T.3122]      ,-0.9010  ,0.4254   ,-2.1181,0.0342 ,-1.7348 ,-0.0673 
C(sector)[T.3131]      ,-0.9644  ,0.4244   ,-2.2724,0.0231 ,-1.7962 ,-0.1326 
C(sector)[T.3132]      ,-0.9727  ,0.4241   ,-2.2937,0.0218 ,-1.8039 ,-0.1415 
C(sector)[T.3133]      ,-0.9413  ,0.4243   ,-2.2183,0.0265 ,-1.7729 ,-0.1096 
C(sector)[T.3141]      ,-0.9657  ,0.4238   ,-2.2789,0.0227 ,-1.7963 ,-0.1352 
C(sector)[T.3149]      ,-0.9431  ,0.4254   ,-2.2166,0.0266 ,-1.7769 ,-0.1092 
C(sector)[T.3151]      ,-0.9542  ,0.4224   ,-2.2592,0.0239 ,-1.7820 ,-0.1264 
C(sector)[T.3152]      ,-0.8647  ,0.4237   ,-2.0411,0.0412 ,-1.6951 ,-0.0344 
C(sector)[T.3159]      ,-0.9279  ,0.4232   ,-2.1928,0.0283 ,-1.7574 ,-0.0985 
C(sector)[T.3161]      ,-0.9615  ,0.4240   ,-2.2678,0.0233 ,-1.7925 ,-0.1305 
C(sector)[T.3162]      ,-0.9550  ,0.4240   ,-2.2527,0.0243 ,-1.7860 ,-0.1241 
C(sector)[T.3169]      ,-0.9536  ,0.4243   ,-2.2478,0.0246 ,-1.7852 ,-0.1221 
C(sector)[T.3211]      ,-0.9713  ,0.4244   ,-2.2889,0.0221 ,-1.8030 ,-0.1396 
C(sector)[T.3212]      ,-0.9795  ,0.4253   ,-2.3030,0.0213 ,-1.8131 ,-0.1459 
C(sector)[T.3219]      ,-0.9548  ,0.4251   ,-2.2461,0.0247 ,-1.7881 ,-0.1216 
C(sector)[T.3221]      ,-0.9829  ,0.4254   ,-2.3104,0.0209 ,-1.8168 ,-0.1491 
C(sector)[T.3222]      ,-0.9934  ,0.4247   ,-2.3392,0.0193 ,-1.8258 ,-0.1611 
C(sector)[T.3231]      ,-0.9724  ,0.4238   ,-2.2943,0.0218 ,-1.8032 ,-0.1417 
C(sector)[T.3241]      ,-0.9822  ,0.4246   ,-2.3129,0.0207 ,-1.8145 ,-0.1499 
C(sector)[T.3251]      ,-0.9768  ,0.4256   ,-2.2950,0.0217 ,-1.8110 ,-0.1426 
C(sector)[T.3252]      ,-0.9846  ,0.4274   ,-2.3041,0.0212 ,-1.8222 ,-0.1471 
C(sector)[T.3253]      ,-0.9724  ,0.4253   ,-2.2862,0.0222 ,-1.8060 ,-0.1388 
C(sector)[T.3254]      ,-0.9559  ,0.4261   ,-2.2432,0.0249 ,-1.7911 ,-0.1207 
C(sector)[T.3255]      ,-0.9858  ,0.4249   ,-2.3200,0.0203 ,-1.8186 ,-0.1530 
C(sector)[T.3256]      ,-0.9725  ,0.4252   ,-2.2874,0.0222 ,-1.8058 ,-0.1392 
C(sector)[T.3259]      ,-0.9702  ,0.4251   ,-2.2823,0.0225 ,-1.8034 ,-0.1370 
C(sector)[T.3261]      ,-0.9824  ,0.4249   ,-2.3120,0.0208 ,-1.8152 ,-0.1496 
C(sector)[T.3262]      ,-0.9835  ,0.4246   ,-2.3162,0.0205 ,-1.8157 ,-0.1513 
C(sector)[T.3271]      ,-0.9550  ,0.4247   ,-2.2487,0.0245 ,-1.7873 ,-0.1226 
C(sector)[T.3272]      ,-0.9592  ,0.4251   ,-2.2565,0.0240 ,-1.7923 ,-0.1260 
C(sector)[T.3273]      ,-0.9926  ,0.4244   ,-2.3390,0.0193 ,-1.8244 ,-0.1609 
C(sector)[T.3274]      ,-0.9591  ,0.4246   ,-2.2589,0.0239 ,-1.7913 ,-0.1269 
C(sector)[T.3279]      ,-0.9653  ,0.4261   ,-2.2656,0.0235 ,-1.8004 ,-0.1302 
C(sector)[T.3311]      ,-0.9093  ,0.4260   ,-2.1344,0.0328 ,-1.7443 ,-0.0743 
C(sector)[T.3312]      ,-0.9712  ,0.4253   ,-2.2838,0.0224 ,-1.8047 ,-0.1377 
C(sector)[T.3313]      ,-0.9817  ,0.4253   ,-2.3085,0.0210 ,-1.8152 ,-0.1482 
C(sector)[T.3314]      ,-0.9797  ,0.4253   ,-2.3033,0.0213 ,-1.8133 ,-0.1460 
C(sector)[T.3315]      ,-0.9967  ,0.4244   ,-2.3487,0.0188 ,-1.8284 ,-0.1650 
C(sector)[T.3321]      ,-1.0007  ,0.4245   ,-2.3575,0.0184 ,-1.8326 ,-0.1687 
C(sector)[T.3322]      ,-0.9905  ,0.4251   ,-2.3298,0.0198 ,-1.8238 ,-0.1572 
C(sector)[T.3323]      ,-0.9823  ,0.4256   ,-2.3080,0.0210 ,-1.8166 ,-0.1481 
C(sector)[T.3324]      ,-0.9911  ,0.4248   ,-2.3331,0.0196 ,-1.8236 ,-0.1585 
C(sector)[T.3325]      ,-0.9858  ,0.4242   ,-2.3236,0.0201 ,-1.8172 ,-0.1543 
C(sector)[T.3326]      ,-0.9863  ,0.4247   ,-2.3225,0.0202 ,-1.8187 ,-0.1540 
C(sector)[T.3327]      ,-0.9810  ,0.4253   ,-2.3066,0.0211 ,-1.8146 ,-0.1474 
C(sector)[T.3328]      ,-0.9890  ,0.4252   ,-2.3259,0.0200 ,-1.8223 ,-0.1556 
C(sector)[T.3329]      ,-0.9656  ,0.4250   ,-2.2719,0.0231 ,-1.7987 ,-0.1326 
C(sector)[T.3331]      ,-0.9828  ,0.4250   ,-2.3125,0.0207 ,-1.8157 ,-0.1498 
C(sector)[T.3332]      ,-0.9845  ,0.4248   ,-2.3175,0.0205 ,-1.8171 ,-0.1519 
C(sector)[T.3333]      ,-0.9777  ,0.4249   ,-2.3011,0.0214 ,-1.8105 ,-0.1449 
C(sector)[T.3334]      ,-0.9833  ,0.4251   ,-2.3134,0.0207 ,-1.8164 ,-0.1502 
