                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate_chg  ,  R-squared:           ,0.0280    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-1.4436   
No. Observations:,6009            ,  R-squared (Within):  ,0.0204    
Date:            ,Mon, Jul 18 2022,  R-squared (Overall): ,0.0029    
Time:            ,14:33:06        ,  Log-likelihood       ,1.379e+04 
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,7.8412    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,22.935          ,  Distribution:        ,F(21,5720)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,31.000          ,  F-statistic (robust):,3.4879    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,33              ,  Distribution:        ,F(21,5720)
Avg Obs:         ,182.09          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,212.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-0.0304  ,0.0546   ,-0.5559,0.5783 ,-0.1374 ,0.0767  
L_0_chg_restriction_2_0,-0.0067  ,0.0074   ,-0.9006,0.3678 ,-0.0213 ,0.0079  
L_0_entry_rate_whole   ,0.1155   ,0.0756   ,1.5281 ,0.1266 ,-0.0327 ,0.2637  
L_0_log_gdp            ,0.0291   ,0.0136   ,2.1422 ,0.0322 ,0.0025  ,0.0558  
L_1_chg_restriction_2_0,0.0093   ,0.0080   ,1.1574 ,0.2471 ,-0.0064 ,0.0250  
L_1_entry_rate_whole   ,-0.1220  ,0.0698   ,-1.7484,0.0805 ,-0.2589 ,0.0148  
L_1_log_gdp            ,-0.0633  ,0.0199   ,-3.1766,0.0015 ,-0.1024 ,-0.0242 
L_2_chg_restriction_2_0,0.0213   ,0.0091   ,2.3416 ,0.0192 ,0.0035  ,0.0392  
L_2_entry_rate_whole   ,0.0196   ,0.0345   ,0.5665 ,0.5711 ,-0.0481 ,0.0873  
L_2_log_gdp            ,0.0047   ,0.0178   ,0.2641 ,0.7917 ,-0.0302 ,0.0397  
L_3_chg_restriction_2_0,-0.0008  ,0.0075   ,-0.1055,0.9160 ,-0.0155 ,0.0139  
L_3_entry_rate_whole   ,0.0550   ,0.0408   ,1.3473 ,0.1779 ,-0.0250 ,0.1350  
L_3_log_gdp            ,0.0491   ,0.0177   ,2.7714 ,0.0056 ,0.0144  ,0.0839  
L_4_chg_restriction_2_0,-0.0104  ,0.0078   ,-1.3256,0.1850 ,-0.0258 ,0.0050  
L_4_entry_rate_whole   ,-0.1515  ,0.0370   ,-4.0980,0.0000 ,-0.2240 ,-0.0790 
L_4_log_gdp            ,-0.0420  ,0.0164   ,-2.5709,0.0102 ,-0.0741 ,-0.0100 
L_5_chg_restriction_2_0,0.0100   ,0.0076   ,1.3132 ,0.1892 ,-0.0049 ,0.0249  
L_5_entry_rate_whole   ,0.0948   ,0.0264   ,3.5924 ,0.0003 ,0.0431  ,0.1465  
L_5_log_gdp            ,0.0144   ,0.0166   ,0.8669 ,0.3860 ,-0.0182 ,0.0471  
L_6_entry_rate_whole   ,0.0018   ,0.0203   ,0.0875 ,0.9303 ,-0.0381 ,0.0416  
L_6_log_gdp            ,0.0067   ,0.0119   ,0.5681 ,0.5700 ,-0.0165 ,0.0300  
L_6_log_restriction_2_0,0.0037   ,0.0041   ,0.8855 ,0.3759 ,-0.0045 ,0.0118  

F-test for Poolability: 1.1793
P-value: 0.0264
Distribution: F(267,5720)

Included effects: Entity, Time
