                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0448    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.1256    
No. Observations:,9007            ,  R-squared (Within):  ,-0.0839   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0076    
Time:            ,16:23:16        ,  Log-likelihood       ,1.522e+04 
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,4859.3    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,34.378          ,  Distribution:        ,F(12,8715)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,38.000          ,  F-statistic (robust):,42.646    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(12,8715)
Avg Obs:         ,237.03          ,                       ,          
Min Obs:         ,234.00          ,                       ,          
Max Obs:         ,239.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.0608  ,0.1296   ,-0.4694,0.6388 ,-0.3149 ,0.1932  
L_0_entry_rate_whole          ,-0.0319  ,0.1436   ,-0.2220,0.8243 ,-0.3133 ,0.2496  
L_0_log_gdp                   ,-0.0786  ,0.0269   ,-2.9228,0.0035 ,-0.1313 ,-0.0259 
L_1_entry_rate_whole          ,-0.3343  ,0.1332   ,-2.5090,0.0121 ,-0.5954 ,-0.0731 
L_1_log_gdp                   ,-0.0541  ,0.0224   ,-2.4179,0.0156 ,-0.0980 ,-0.0102 
L_2_entry_rate_whole          ,0.3582   ,0.1083   ,3.3082 ,0.0009 ,0.1459  ,0.5704  
L_2_log_gdp                   ,0.0690   ,0.0314   ,2.1971 ,0.0280 ,0.0074  ,0.1306  
L_3_entry_rate_whole          ,0.1024   ,0.0487   ,2.1011 ,0.0357 ,0.0069  ,0.1979  
L_3_log_gdp                   ,0.0700   ,0.0233   ,2.9993 ,0.0027 ,0.0242  ,0.1157  
curr_chg_restriction_2_0      ,0.0191   ,0.0120   ,1.5931 ,0.1112 ,-0.0044 ,0.0425  
enter_chg_restriction_2_0     ,0.0193   ,0.0131   ,1.4682 ,0.1421 ,-0.0065 ,0.0450  
life_chg_restriction_2_0      ,0.0279   ,0.0090   ,3.1076 ,0.0019 ,0.0103  ,0.0455  
pre_cohort_log_restriction_2_0,0.0177   ,0.0096   ,1.8519 ,0.0641 ,-0.0010 ,0.0365  

F-test for Poolability: 14.817
P-value: 0.0000
Distribution: F(279,8715)

Included effects: Entity, Time
