                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0249    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0689    
No. Observations:,7638            ,  R-squared (Within):  ,0.0336    
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,0.0402    
Time:            ,14:26:40        ,  Log-likelihood       ,9018.5    
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,797.24    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,29.153          ,  Distribution:        ,F(14,7347)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,35.000          ,  F-statistic (robust):,2.385e+12 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,35              ,  Distribution:        ,F(14,7347)
Avg Obs:         ,218.23          ,                       ,          
Min Obs:         ,207.00          ,                       ,          
Max Obs:         ,225.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.2127   ,0.1738   ,1.2243 ,0.2209 ,-0.1279 ,0.5534  
L_0_entry_rate_whole          ,0.3417   ,0.3277   ,1.0426 ,0.2972 ,-0.3007 ,0.9841  
L_0_log_gdp                   ,-0.0788  ,0.0240   ,-3.2847,0.0010 ,-0.1258 ,-0.0318 
L_1_entry_rate_whole          ,-0.5248  ,0.4019   ,-1.3057,0.1917 ,-1.3126 ,0.2631  
L_1_log_gdp                   ,-0.0591  ,0.0277   ,-2.1374,0.0326 ,-0.1134 ,-0.0049 
L_2_entry_rate_whole          ,0.0785   ,0.0990   ,0.7929 ,0.4278 ,-0.1156 ,0.2726  
L_2_log_gdp                   ,0.1135   ,0.0320   ,3.5488 ,0.0004 ,0.0508  ,0.1762  
L_3_entry_rate_whole          ,0.0666   ,0.0737   ,0.9030 ,0.3665 ,-0.0779 ,0.2111  
L_3_log_gdp                   ,0.0104   ,0.0214   ,0.4853 ,0.6275 ,-0.0316 ,0.0524  
L_4_entry_rate_whole          ,0.0449   ,0.0193   ,2.3293 ,0.0199 ,0.0071  ,0.0827  
L_4_log_gdp                   ,0.0018   ,0.0326   ,0.0563 ,0.9551 ,-0.0621 ,0.0657  
curr_chg_restriction_2_0      ,0.0487   ,0.0152   ,3.2040 ,0.0014 ,0.0189  ,0.0785  
enter_chg_restriction_2_0     ,0.0635   ,0.0463   ,1.3715 ,0.1703 ,-0.0273 ,0.1542  
life_chg_restriction_2_0      ,0.1452   ,0.0465   ,3.1212 ,0.0018 ,0.0540  ,0.2365  
pre_cohort_log_restriction_2_0,0.0004   ,0.0092   ,0.0415 ,0.9669 ,-0.0177 ,0.0185  

F-test for Poolability: 4.3107
P-value: 0.0000
Distribution: F(276,7347)

Included effects: Entity, Time
