                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0107    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0412    
No. Observations:,2909            ,  R-squared (Within):  ,0.0013    
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0038    
Time:            ,16:23:20        ,  Log-likelihood       ,3955.0    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,392.24    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,171.12          ,  Distribution:        ,F(20,2843)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,261.00          ,  F-statistic (robust):,59.767    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(20,2843)
Avg Obs:         ,76.553          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.0075  ,0.3271   ,-0.0229,0.9817 ,-0.6488 ,0.6338  
L_0_entry_rate_whole          ,-0.2199  ,0.4574   ,-0.4807,0.6308 ,-1.1167 ,0.6769  
L_0_log_gdp                   ,-0.0582  ,0.0630   ,-0.9248,0.3552 ,-0.1817 ,0.0652  
L_1_entry_rate_whole          ,0.1127   ,0.5945   ,0.1895 ,0.8497 ,-1.0529 ,1.2783  
L_1_log_gdp                   ,-0.0255  ,0.0832   ,-0.3067,0.7591 ,-0.1887 ,0.1376  
L_2_entry_rate_whole          ,0.1792   ,0.5835   ,0.3071 ,0.7588 ,-0.9649 ,1.3232  
L_2_log_gdp                   ,0.0364   ,0.0791   ,0.4595 ,0.6459 ,-0.1188 ,0.1915  
L_3_entry_rate_whole          ,-0.0192  ,0.5840   ,-0.0329,0.9737 ,-1.1643 ,1.1259  
L_3_log_gdp                   ,0.0422   ,0.0750   ,0.5623 ,0.5740 ,-0.1049 ,0.1892  
L_4_entry_rate_whole          ,0.1474   ,0.5072   ,0.2906 ,0.7713 ,-0.8471 ,1.1419  
L_4_log_gdp                   ,-0.0018  ,0.0699   ,-0.0260,0.9793 ,-0.1389 ,0.1352  
L_5_entry_rate_whole          ,0.1882   ,0.4291   ,0.4386 ,0.6610 ,-0.6532 ,1.0296  
L_5_log_gdp                   ,0.0058   ,0.0691   ,0.0834 ,0.9335 ,-0.1297 ,0.1412  
L_6_entry_rate_whole          ,-0.2534  ,0.3060   ,-0.8281,0.4077 ,-0.8535 ,0.3467  
L_6_log_gdp                   ,0.0093   ,0.0525   ,0.1764 ,0.8600 ,-0.0937 ,0.1123  
cross                         ,-0.0046  ,0.0025   ,-1.8478,0.0647 ,-0.0095 ,0.0003  
curr_chg_restriction_2_0      ,0.0178   ,0.0484   ,0.3667 ,0.7139 ,-0.0772 ,0.1127  
enter_chg_restriction_2_0     ,0.0104   ,0.0430   ,0.2409 ,0.8096 ,-0.0740 ,0.0947  
large_firm                    ,-0.0526  ,0.0263   ,-1.9956,0.0461 ,-0.1042 ,-0.0009 
life_chg_restriction_2_0      ,0.0447   ,0.0995   ,0.4496 ,0.6531 ,-0.1503 ,0.2398  
pre_cohort_log_restriction_2_0,0.0054   ,0.0231   ,0.2356 ,0.8138 ,-0.0398 ,0.0507  

F-test for Poolability: 1.6515
P-value: 0.0042
Distribution: F(45,2843)

Included effects: Entity, Time
