                     PanelOLS Estimation Summary                      
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.2658     
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.3004    
No. Observations:,13416           ,  R-squared (Within):  ,0.2515     
Date:            ,Wed, Jul 13 2022,  R-squared (Overall): ,0.2095     
Time:            ,10:38:03        ,  Log-likelihood       ,1.361e+04  
Cov. Estimator:  ,Robust          ,                       ,           
                 ,                ,  F-statistic:         ,3959.7     
Entities:        ,17              ,  P-value              ,0.0000     
Avg Obs:         ,789.18          ,  Distribution:        ,F(13,13353)
Min Obs:         ,0.0000          ,                       ,           
Max Obs:         ,1234.0          ,  F-statistic (robust):,384.41     
                 ,                ,  P-value              ,0.0000     
Time periods:    ,37              ,  Distribution:        ,F(13,13353)
Avg Obs:         ,362.59          ,                       ,           
Min Obs:         ,69.000          ,                       ,           
Max Obs:         ,432.00          ,                       ,           
                 ,                ,                       ,           
                                  Parameter Estimates                                   
                                  ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.1.0]           ,-0.1366  ,0.1757   ,-0.7779,0.4366 ,-0.4810 ,0.2077  
C(age_grp_dummy)[T.2.0]           ,-0.2103  ,0.1756   ,-1.1973,0.2312 ,-0.5546 ,0.1340  
C(age_grp_dummy)[T.3.0]           ,-0.2320  ,0.1755   ,-1.3222,0.1861 ,-0.5760 ,0.1119  
C(age_grp_dummy)[T.4.0]           ,-0.2443  ,0.1753   ,-1.3932,0.1636 ,-0.5879 ,0.0994  
C(age_grp_dummy)[T.5.0]           ,-0.2494  ,0.1751   ,-1.4237,0.1546 ,-0.5927 ,0.0940  
L_0_entry_rate_whole              ,-0.3611  ,0.1850   ,-1.9523,0.0509 ,-0.7236 ,0.0014  
L_0_log_gdp                       ,-0.1407  ,0.0295   ,-4.7714,0.0000 ,-0.1985 ,-0.0829 
L_0_log_restriction_2_0           ,0.0403   ,0.0248   ,1.6270 ,0.1038 ,-0.0083 ,0.0889  
avg_entry_rate_whole              ,0.2010   ,0.1836   ,1.0949 ,0.2736 ,-0.1589 ,0.5609  
avg_log_gdp                       ,0.1388   ,0.0266   ,5.2200 ,0.0000 ,0.0867  ,0.1909  
avg_log_restriction_2_0           ,-0.0229  ,0.0252   ,-0.9105,0.3626 ,-0.0723 ,0.0264  
large_firm                        ,0.0555   ,0.0242   ,2.2890 ,0.0221 ,0.0080  ,0.1030  
log_emp_cohort                    ,0.0206   ,0.0040   ,5.1299 ,0.0000 ,0.0127  ,0.0285  
avg_log_restriction_2_0:large_firm,-0.0170  ,0.0021   ,-8.1516,0.0000 ,-0.0211 ,-0.0129 

F-test for Poolability: 14.686
P-value: 0.0000
Distribution: F(49,13353)

Included effects: Entity, Time
