                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0108    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.3841   
No. Observations:,2663            ,  R-squared (Within):  ,-0.0580   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.0906   
Time:            ,14:26:35        ,  Log-likelihood       ,3166.3    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,596.56    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,156.65          ,  Distribution:        ,F(14,2601)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,248.00          ,  F-statistic (robust):,88.912    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,35              ,  Distribution:        ,F(14,2601)
Avg Obs:         ,76.086          ,                       ,          
Min Obs:         ,64.000          ,                       ,          
Max Obs:         ,92.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.1913  ,0.3311   ,-0.5778,0.5635 ,-0.8406 ,0.4580  
L_0_entry_rate_whole          ,-0.1297  ,0.3982   ,-0.3258,0.7446 ,-0.9107 ,0.6512  
L_0_log_gdp                   ,-0.0643  ,0.0684   ,-0.9411,0.3467 ,-0.1984 ,0.0697  
L_1_entry_rate_whole          ,0.0359   ,0.5238   ,0.0685 ,0.9454 ,-0.9913 ,1.0630  
L_1_log_gdp                   ,-0.0315  ,0.0901   ,-0.3498,0.7265 ,-0.2081 ,0.1451  
L_2_entry_rate_whole          ,0.0856   ,0.5181   ,0.1652 ,0.8688 ,-0.9304 ,1.1016  
L_2_log_gdp                   ,0.0753   ,0.0883   ,0.8523 ,0.3941 ,-0.0979 ,0.2484  
L_3_entry_rate_whole          ,0.2331   ,0.4936   ,0.4722 ,0.6369 ,-0.7348 ,1.2010  
L_3_log_gdp                   ,0.0020   ,0.0835   ,0.0239 ,0.9810 ,-0.1617 ,0.1657  
L_4_entry_rate_whole          ,0.0322   ,0.3646   ,0.0884 ,0.9295 ,-0.6826 ,0.7471  
L_4_log_gdp                   ,0.0408   ,0.0646   ,0.6309 ,0.5282 ,-0.0860 ,0.1675  
cross                         ,-0.0077  ,0.0031   ,-2.5056,0.0123 ,-0.0138 ,-0.0017 
full_chg_restriction_2_0      ,0.0780   ,0.0910   ,0.8569 ,0.3916 ,-0.1004 ,0.2564  
large_firm                    ,-0.0495  ,0.0332   ,-1.4913,0.1360 ,-0.1146 ,0.0156  
pre_cohort_log_restriction_2_0,0.0167   ,0.0248   ,0.6730 ,0.5010 ,-0.0319 ,0.0652  

F-test for Poolability: 2.9179
P-value: 0.0000
Distribution: F(47,2601)

Included effects: Entity, Time
