                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0107    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0198    
No. Observations:,2909            ,  R-squared (Within):  ,0.0003    
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0015    
Time:            ,16:23:12        ,  Log-likelihood       ,3955.0    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,436.12    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,171.12          ,  Distribution:        ,F(18,2845)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,261.00          ,  F-statistic (robust):,66.198    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(18,2845)
Avg Obs:         ,76.553          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.0120  ,0.3260   ,-0.0368,0.9706 ,-0.6512 ,0.6272  
L_0_entry_rate_whole          ,-0.2184  ,0.4595   ,-0.4753,0.6346 ,-1.1194 ,0.6825  
L_0_log_gdp                   ,-0.0585  ,0.0630   ,-0.9278,0.3536 ,-0.1820 ,0.0651  
L_1_entry_rate_whole          ,0.1123   ,0.5959   ,0.1884 ,0.8506 ,-1.0562 ,1.2807  
L_1_log_gdp                   ,-0.0253  ,0.0837   ,-0.3019,0.7628 ,-0.1893 ,0.1388  
L_2_entry_rate_whole          ,0.1777   ,0.5809   ,0.3059 ,0.7597 ,-0.9614 ,1.3168  
L_2_log_gdp                   ,0.0364   ,0.0791   ,0.4602 ,0.6454 ,-0.1188 ,0.1916  
L_3_entry_rate_whole          ,-0.0163  ,0.5860   ,-0.0278,0.9779 ,-1.1654 ,1.1328  
L_3_log_gdp                   ,0.0428   ,0.0746   ,0.5729 ,0.5668 ,-0.1036 ,0.1891  
L_4_entry_rate_whole          ,0.1466   ,0.5079   ,0.2887 ,0.7729 ,-0.8493 ,1.1425  
L_4_log_gdp                   ,-0.0025  ,0.0699   ,-0.0355,0.9717 ,-0.1396 ,0.1346  
L_5_entry_rate_whole          ,0.1840   ,0.4255   ,0.4325 ,0.6654 ,-0.6503 ,1.0183  
L_5_log_gdp                   ,0.0054   ,0.0688   ,0.0782 ,0.9377 ,-0.1296 ,0.1404  
L_6_entry_rate_whole          ,-0.2522  ,0.3074   ,-0.8203,0.4121 ,-0.8550 ,0.3506  
L_6_log_gdp                   ,0.0099   ,0.0521   ,0.1893 ,0.8499 ,-0.0923 ,0.1120  
cross                         ,-0.0046  ,0.0025   ,-1.8708,0.0615 ,-0.0095 ,0.0002  
full_chg_restriction_2_0      ,0.0609   ,0.1045   ,0.5833 ,0.5597 ,-0.1439 ,0.2658  
large_firm                    ,-0.0521  ,0.0262   ,-1.9845,0.0473 ,-0.1036 ,-0.0006 
pre_cohort_log_restriction_2_0,0.0057   ,0.0231   ,0.2476 ,0.8045 ,-0.0396 ,0.0510  

F-test for Poolability: 1.6622
P-value: 0.0038
Distribution: F(45,2845)

Included effects: Entity, Time
