                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0103    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.5788   
No. Observations:,3141            ,  R-squared (Within):  ,-0.0647   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.1077   
Time:            ,16:23:13        ,  Log-likelihood       ,3738.2    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,593.19    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,184.76          ,  Distribution:        ,F(17,3074)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,278.00          ,  F-statistic (robust):,82.484    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(17,3074)
Avg Obs:         ,82.658          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,97.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.1995  ,0.2994   ,-0.6662,0.5053 ,-0.7866 ,0.3876  
L_0_chg_log_restriction_2_0   ,0.0211   ,0.0524   ,0.4031 ,0.6869 ,-0.0817 ,0.1240  
L_0_entry_rate_whole          ,-0.1067  ,0.4001   ,-0.2666,0.7898 ,-0.8911 ,0.6778  
L_0_log_gdp                   ,-0.0477  ,0.0703   ,-0.6781,0.4978 ,-0.1856 ,0.0902  
L_1_chg_log_restriction_2_0   ,0.0142   ,0.0465   ,0.3056 ,0.7599 ,-0.0770 ,0.1055  
L_1_entry_rate_whole          ,0.0862   ,0.5073   ,0.1700 ,0.8650 ,-0.9085 ,1.0810  
L_1_log_gdp                   ,-0.0356  ,0.0915   ,-0.3888,0.6975 ,-0.2150 ,0.1439  
L_2_chg_log_restriction_2_0   ,0.0050   ,0.0424   ,0.1173 ,0.9067 ,-0.0782 ,0.0881  
L_2_entry_rate_whole          ,0.1125   ,0.4941   ,0.2277 ,0.8199 ,-0.8562 ,1.0813  
L_2_log_gdp                   ,0.0596   ,0.0838   ,0.7114 ,0.4769 ,-0.1047 ,0.2240  
L_3_chg_log_restriction_2_0   ,-0.0023  ,0.0452   ,-0.0508,0.9595 ,-0.0909 ,0.0863  
L_3_entry_rate_whole          ,0.1395   ,0.4756   ,0.2933 ,0.7693 ,-0.7930 ,1.0719  
L_3_log_gdp                   ,0.0002   ,0.0792   ,0.0024 ,0.9981 ,-0.1551 ,0.1555  
L_4_entry_rate_whole          ,0.0172   ,0.3459   ,0.0496 ,0.9604 ,-0.6611 ,0.6954  
L_4_log_gdp                   ,0.0462   ,0.0594   ,0.7783 ,0.4364 ,-0.0702 ,0.1626  
cross                         ,-0.0080  ,0.0030   ,-2.6958,0.0071 ,-0.0139 ,-0.0022 
large_firm                    ,-0.0451  ,0.0320   ,-1.4071,0.1595 ,-0.1079 ,0.0177  
pre_cohort_log_restriction_2_0,0.0167   ,0.0219   ,0.7660 ,0.4437 ,-0.0261 ,0.0596  

F-test for Poolability: 2.8077
P-value: 0.0000
Distribution: F(49,3074)

Included effects: Entity, Time
