                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0228    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0652    
No. Observations:,5018            ,  R-squared (Within):  ,0.0209    
Date:            ,Tue, Jul 05 2022,  R-squared (Overall): ,0.0267    
Time:            ,15:47:33        ,  Log-likelihood       ,5936.3    
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,6.9947    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,19.153          ,  Distribution:        ,F(16,4806)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,34.000          ,  F-statistic (robust):,-1.319e+14
                 ,                ,  P-value              ,1.0000    
Time periods:    ,34              ,  Distribution:        ,F(16,4806)
Avg Obs:         ,147.59          ,                       ,          
Min Obs:         ,143.00          ,                       ,          
Max Obs:         ,154.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,0.3006   ,0.1594   ,1.8861 ,0.0593 ,-0.0119 ,0.6131  
L_0_entry_rate_whole   ,0.2268   ,0.1324   ,1.7133 ,0.0867 ,-0.0327 ,0.4863  
L_0_log_gdp            ,-0.0295  ,0.0275   ,-1.0743,0.2827 ,-0.0833 ,0.0243  
L_0_log_restriction_2_0,0.0231   ,0.0192   ,1.2000 ,0.2302 ,-0.0146 ,0.0607  
L_1_entry_rate_whole   ,-0.2470  ,0.1721   ,-1.4352,0.1513 ,-0.5843 ,0.0904  
L_1_log_gdp            ,-0.0665  ,0.0268   ,-2.4830,0.0131 ,-0.1190 ,-0.0140 
L_1_log_restriction_2_0,0.0597   ,0.0357   ,1.6696 ,0.0951 ,-0.0104 ,0.1297  
L_2_entry_rate_whole   ,0.0545   ,0.0385   ,1.4146 ,0.1572 ,-0.0210 ,0.1299  
L_2_log_gdp            ,0.0248   ,0.0356   ,0.6967 ,0.4861 ,-0.0450 ,0.0947  
L_2_log_restriction_2_0,-0.0428  ,0.0257   ,-1.6652,0.0959 ,-0.0932 ,0.0076  
L_3_entry_rate_whole   ,0.0090   ,0.0385   ,0.2342 ,0.8148 ,-0.0665 ,0.0846  
L_3_log_gdp            ,0.0558   ,0.0284   ,1.9643 ,0.0496 ,0.0001  ,0.1114  
L_3_log_restriction_2_0,-0.0019  ,0.0315   ,-0.0612,0.9512 ,-0.0637 ,0.0599  
L_4_entry_rate_whole   ,0.0393   ,0.0225   ,1.7486 ,0.0804 ,-0.0048 ,0.0833  
L_4_log_gdp            ,0.0147   ,0.0203   ,0.7259 ,0.4679 ,-0.0250 ,0.0544  
L_4_log_restriction_2_0,-0.0462  ,0.0371   ,-1.2471,0.2124 ,-0.1189 ,0.0265  
log_emp_cohort         ,-0.0099  ,0.0021   ,-4.6607,0.0000 ,-0.0141 ,-0.0057 

F-test for Poolability: 4.8078
P-value: 0.0000
Distribution: F(195,4806)

Included effects: Entity, Time
