                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0106    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.5315   
No. Observations:,2564            ,  R-squared (Within):  ,-0.0328   
Date:            ,Wed, Jul 20 2022,  R-squared (Overall): ,-0.0815   
Time:            ,09:02:12        ,  Log-likelihood       ,3314.6    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,368.29    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,150.82          ,  Distribution:        ,F(20,2498)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,239.00          ,  F-statistic (robust):,64.123    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(20,2498)
Avg Obs:         ,75.412          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,86.000          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-0.2025  ,0.3283   ,-0.6169,0.5373 ,-0.8462 ,0.4412  
L_0_chg_restriction_2_0,0.0233   ,0.0552   ,0.4223 ,0.6728 ,-0.0849 ,0.1315  
L_0_entry_rate_whole   ,-0.0011  ,0.3643   ,-0.0030,0.9976 ,-0.7154 ,0.7132  
L_0_log_gdp            ,-0.0675  ,0.0631   ,-1.0691,0.2851 ,-0.1913 ,0.0563  
L_1_chg_restriction_2_0,0.0308   ,0.0517   ,0.5962 ,0.5511 ,-0.0705 ,0.1321  
L_1_entry_rate_whole   ,0.0115   ,0.4684   ,0.0246 ,0.9804 ,-0.9070 ,0.9301  
L_1_log_gdp            ,-0.0164  ,0.0848   ,-0.1929,0.8470 ,-0.1826 ,0.1499  
L_2_chg_restriction_2_0,0.0242   ,0.0485   ,0.5004 ,0.6169 ,-0.0708 ,0.1192  
L_2_entry_rate_whole   ,0.1694   ,0.4665   ,0.3630 ,0.7166 ,-0.7455 ,1.0842  
L_2_log_gdp            ,0.0530   ,0.0826   ,0.6416 ,0.5212 ,-0.1090 ,0.2150  
L_3_chg_restriction_2_0,0.0084   ,0.0497   ,0.1689 ,0.8659 ,-0.0891 ,0.1059  
L_3_entry_rate_whole   ,0.0323   ,0.4582   ,0.0705 ,0.9438 ,-0.8663 ,0.9309  
L_3_log_gdp            ,0.0289   ,0.0804   ,0.3598 ,0.7190 ,-0.1287 ,0.1865  
L_4_chg_restriction_2_0,0.0139   ,0.0500   ,0.2782 ,0.7809 ,-0.0841 ,0.1119  
L_4_entry_rate_whole   ,0.0829   ,0.4298   ,0.1929 ,0.8471 ,-0.7599 ,0.9257  
L_4_log_gdp            ,-0.0044  ,0.0804   ,-0.0547,0.9564 ,-0.1621 ,0.1533  
L_5_entry_rate_whole   ,-0.0207  ,0.3244   ,-0.0638,0.9491 ,-0.6567 ,0.6153  
L_5_log_gdp            ,0.0248   ,0.0610   ,0.4064 ,0.6845 ,-0.0948 ,0.1444  
L_5_log_restriction_2_0,0.0180   ,0.0244   ,0.7371 ,0.4612 ,-0.0299 ,0.0659  
cross                  ,-0.0074  ,0.0029   ,-2.5374,0.0112 ,-0.0130 ,-0.0017 
large_firm             ,-0.0368  ,0.0312   ,-1.1799,0.2381 ,-0.0981 ,0.0244  

F-test for Poolability: 2.3614
P-value: 0.0000
Distribution: F(45,2498)

Included effects: Entity, Time
