                     PanelOLS Estimation Summary                     
Dep. Variable:   ,death_rate      ,  R-squared:           ,0.0108    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0880    
No. Observations:,2909            ,  R-squared (Within):  ,0.0032    
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,0.0085    
Time:            ,16:23:13        ,  Log-likelihood       ,3955.2    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,340.78    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,171.12          ,  Distribution:        ,F(23,2840)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,261.00          ,  F-statistic (robust):,52.003    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(23,2840)
Avg Obs:         ,76.553          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.0038   ,0.3282   ,0.0116 ,0.9907 ,-0.6397 ,0.6474  
L_0_chg_log_restriction_2_0   ,0.0186   ,0.0488   ,0.3818 ,0.7026 ,-0.0771 ,0.1143  
L_0_entry_rate_whole          ,-0.2141  ,0.4592   ,-0.4662,0.6411 ,-1.1145 ,0.6863  
L_0_log_gdp                   ,-0.0580  ,0.0629   ,-0.9207,0.3573 ,-0.1814 ,0.0655  
L_1_chg_log_restriction_2_0   ,0.0110   ,0.0494   ,0.2218 ,0.8245 ,-0.0859 ,0.1078  
L_1_entry_rate_whole          ,0.1048   ,0.5960   ,0.1759 ,0.8604 ,-1.0637 ,1.2734  
L_1_log_gdp                   ,-0.0265  ,0.0835   ,-0.3173,0.7510 ,-0.1903 ,0.1373  
L_2_chg_log_restriction_2_0   ,0.0232   ,0.0469   ,0.4950 ,0.6206 ,-0.0688 ,0.1152  
L_2_entry_rate_whole          ,0.1831   ,0.5812   ,0.3151 ,0.7527 ,-0.9566 ,1.3228  
L_2_log_gdp                   ,0.0375   ,0.0794   ,0.4731 ,0.6362 ,-0.1180 ,0.1931  
L_3_chg_log_restriction_2_0   ,0.0070   ,0.0479   ,0.1460 ,0.8840 ,-0.0870 ,0.1010  
L_3_entry_rate_whole          ,-0.0335  ,0.5732   ,-0.0584,0.9534 ,-1.1575 ,1.0906  
L_3_log_gdp                   ,0.0409   ,0.0750   ,0.5457 ,0.5853 ,-0.1061 ,0.1880  
L_4_chg_log_restriction_2_0   ,0.0031   ,0.0466   ,0.0671 ,0.9465 ,-0.0883 ,0.0946  
L_4_entry_rate_whole          ,0.1697   ,0.4928   ,0.3444 ,0.7306 ,-0.7966 ,1.1361  
L_4_log_gdp                   ,-0.0009  ,0.0701   ,-0.0132,0.9895 ,-0.1385 ,0.1366  
L_5_chg_log_restriction_2_0   ,0.0082   ,0.0435   ,0.1880 ,0.8509 ,-0.0771 ,0.0934  
L_5_entry_rate_whole          ,0.1827   ,0.4204   ,0.4346 ,0.6639 ,-0.6416 ,1.0070  
L_5_log_gdp                   ,0.0041   ,0.0694   ,0.0594 ,0.9527 ,-0.1320 ,0.1402  
L_6_entry_rate_whole          ,-0.2557  ,0.3039   ,-0.8414,0.4002 ,-0.8516 ,0.3402  
L_6_log_gdp                   ,0.0101   ,0.0527   ,0.1917 ,0.8480 ,-0.0933 ,0.1135  
cross                         ,-0.0046  ,0.0025   ,-1.8342,0.0667 ,-0.0094 ,0.0003  
large_firm                    ,-0.0529  ,0.0264   ,-2.0043,0.0451 ,-0.1046 ,-0.0011 
pre_cohort_log_restriction_2_0,0.0047   ,0.0231   ,0.2051 ,0.8375 ,-0.0405 ,0.0500  

F-test for Poolability: 1.6243
P-value: 0.0055
Distribution: F(45,2840)

Included effects: Entity, Time
