                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,death_rate      ,  R-squared:         ,0.6638   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.6518   
No. Observations:,9050            ,  F-statistic:       ,9.269e+12
Date:            ,Sat, Aug 20 2022,  P-value (F-stat)   ,0.0000   
Time:            ,20:45:47        ,  Distribution:      ,chi2(314)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                              Parameter Estimates                              
                       ,Parameter,Std. Err., T-stat,P-value, Lower CI ,Upper CI
C(sector)[T.2111]      ,0.8571   ,0.1696   ,5.0547 ,0.0000 ,0.5248    ,1.1894  
C(sector)[T.2121]      ,0.9295   ,0.1702   ,5.4611 ,0.0000 ,0.5959    ,1.2631  
C(sector)[T.2122]      ,0.9002   ,0.1699   ,5.2999 ,0.0000 ,0.5673    ,1.2331  
C(sector)[T.2123]      ,0.8371   ,0.1695   ,4.9397 ,0.0000 ,0.5050    ,1.1693  
C(sector)[T.2131]      ,0.8716   ,0.1695   ,5.1430 ,0.0000 ,0.5394    ,1.2037  
C(sector)[T.2211]      ,0.8328   ,0.1743   ,4.7787 ,0.0000 ,0.4913    ,1.1744  
C(sector)[T.2212]      ,0.8452   ,0.1735   ,4.8725 ,0.0000 ,0.5052    ,1.1851  
C(sector)[T.2213]      ,0.8330   ,0.1738   ,4.7927 ,0.0000 ,0.4923    ,1.1736  
C(sector)[T.2361]      ,0.7837   ,0.1450   ,5.4041 ,0.0000 ,0.4995    ,1.0679  
C(sector)[T.2362]      ,0.7495   ,0.1450   ,5.1681 ,0.0000 ,0.4652    ,1.0337  
C(sector)[T.2371]      ,0.7343   ,0.1448   ,5.0712 ,0.0000 ,0.4505    ,1.0182  
C(sector)[T.2372]      ,0.8081   ,0.1454   ,5.5573 ,0.0000 ,0.5231    ,1.0930  
C(sector)[T.2373]      ,0.7310   ,0.1451   ,5.0373 ,0.0000 ,0.4466    ,1.0154  
C(sector)[T.2379]      ,0.7619   ,0.1453   ,5.2426 ,0.0000 ,0.4770    ,1.0467  
C(sector)[T.2381]      ,0.7634   ,0.1451   ,5.2613 ,0.0000 ,0.4790    ,1.0477  
C(sector)[T.2382]      ,0.7383   ,0.1448   ,5.1007 ,0.0000 ,0.4546    ,1.0220  
C(sector)[T.2383]      ,0.7721   ,0.1450   ,5.3242 ,0.0000 ,0.4879    ,1.0563  
C(sector)[T.2389]      ,0.7557   ,0.1448   ,5.2175 ,0.0000 ,0.4719    ,1.0396  
C(sector)[T.3111]      ,1.0274   ,0.2115   ,4.8568 ,0.0000 ,0.6128    ,1.4420  
C(sector)[T.3112]      ,1.0029   ,0.2120   ,4.7316 ,0.0000 ,0.5875    ,1.4183  
C(sector)[T.3113]      ,1.0367   ,0.2120   ,4.8902 ,0.0000 ,0.6212    ,1.4522  
C(sector)[T.3114]      ,1.0276   ,0.2121   ,4.8448 ,0.0000 ,0.6119    ,1.4434  
C(sector)[T.3115]      ,1.0248   ,0.2115   ,4.8446 ,0.0000 ,0.6102    ,1.4394  
C(sector)[T.3116]      ,1.0294   ,0.2116   ,4.8643 ,0.0000 ,0.6146    ,1.4442  
C(sector)[T.3117]      ,1.0305   ,0.2116   ,4.8702 ,0.0000 ,0.6158    ,1.4452  
C(sector)[T.3118]      ,1.0553   ,0.2120   ,4.9779 ,0.0000 ,0.6398    ,1.4709  
C(sector)[T.3119]      ,1.0357   ,0.2123   ,4.8783 ,0.0000 ,0.6196    ,1.4518  
C(sector)[T.3121]      ,1.0293   ,0.2129   ,4.8347 ,0.0000 ,0.6120    ,1.4466  
C(sector)[T.3122]      ,1.0064   ,0.2121   ,4.7453 ,0.0000 ,0.5907    ,1.4220  
C(sector)[T.3131]      ,1.0160   ,0.2116   ,4.8023 ,0.0000 ,0.6014    ,1.4307  
C(sector)[T.3132]      ,1.0366   ,0.2114   ,4.9037 ,0.0000 ,0.6223    ,1.4509  
