                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.0092    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-1.6368   
No. Observations:,3141             ,  R-squared (Within):  ,-0.0789   
Date:            ,Wed, Aug 10 2022 ,  R-squared (Overall): ,-0.1996   
Time:            ,16:23:38         ,  Log-likelihood       ,7427.5    
Cov. Estimator:  ,Robust           ,                       ,          
                 ,                 ,  F-statistic:         ,528.98    
Entities:        ,17               ,  P-value              ,0.0000    
Avg Obs:         ,184.76           ,  Distribution:        ,F(16,3075)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,278.00           ,  F-statistic (robust):,1.5580    
                 ,                 ,  P-value              ,0.0719    
Time periods:    ,38               ,  Distribution:        ,F(16,3075)
Avg Obs:         ,82.658           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,97.000           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.0415  ,0.0720   ,-0.5763,0.5645 ,-0.1827 ,0.0997  
L_0_entry_rate_whole          ,0.1010   ,0.1109   ,0.9107 ,0.3625 ,-0.1165 ,0.3185  
L_0_log_gdp                   ,0.0145   ,0.0169   ,0.8555 ,0.3923 ,-0.0187 ,0.0477  
L_1_entry_rate_whole          ,-0.0487  ,0.1441   ,-0.3379,0.7355 ,-0.3313 ,0.2339  
L_1_log_gdp                   ,-0.0144  ,0.0230   ,-0.6268,0.5309 ,-0.0594 ,0.0306  
L_2_entry_rate_whole          ,-0.0339  ,0.1427   ,-0.2379,0.8120 ,-0.3137 ,0.2458  
L_2_log_gdp                   ,-0.0171  ,0.0242   ,-0.7069,0.4797 ,-0.0646 ,0.0304  
L_3_entry_rate_whole          ,-0.0126  ,0.1328   ,-0.0950,0.9243 ,-0.2729 ,0.2477  
L_3_log_gdp                   ,0.0071   ,0.0257   ,0.2772 ,0.7816 ,-0.0432 ,0.0574  
L_4_entry_rate_whole          ,-0.0599  ,0.0970   ,-0.6178,0.5368 ,-0.2501 ,0.1303  
L_4_log_gdp                   ,0.0191   ,0.0176   ,1.0879 ,0.2767 ,-0.0153 ,0.0535  
cross                         ,-0.0075  ,0.0047   ,-1.5739,0.1156 ,-0.0167 ,0.0018  
curr_chg_restriction_2_0      ,-0.0030  ,0.0129   ,-0.2336,0.8153 ,-0.0282 ,0.0222  
enter_chg_restriction_2_0     ,0.0061   ,0.0111   ,0.5480 ,0.5837 ,-0.0157 ,0.0279  
large_firm                    ,0.0960   ,0.0490   ,1.9584 ,0.0503 ,-0.0001 ,0.1921  
life_chg_restriction_2_0      ,0.0049   ,0.0160   ,0.3040 ,0.7611 ,-0.0265 ,0.0363  
pre_cohort_log_restriction_2_0,0.0033   ,0.0056   ,0.5913 ,0.5543 ,-0.0076 ,0.0142  

F-test for Poolability: 5.3322
P-value: 0.0000
Distribution: F(49,3075)

Included effects: Entity, Time
