                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.0240    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-3.5747   
No. Observations:,2553             ,  R-squared (Within):  ,0.0203    
Date:            ,Thu, Jul 21 2022 ,  R-squared (Overall): ,-0.1628   
Time:            ,14:26:54         ,  Log-likelihood       ,-5370.4   
Cov. Estimator:  ,Robust           ,                       ,          
                 ,                 ,  F-statistic:         ,481.85    
Entities:        ,17               ,  P-value              ,0.0000    
Avg Obs:         ,150.18           ,  Distribution:        ,F(12,2492)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,225.00           ,  F-statistic (robust):,6.9874    
                 ,                 ,  P-value              ,0.0000    
Time periods:    ,36               ,  Distribution:        ,F(12,2492)
Avg Obs:         ,70.917           ,                       ,          
Min Obs:         ,59.000           ,                       ,          
Max Obs:         ,82.000           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,5.1622   ,5.4024   ,0.9555 ,0.3394 ,-5.4314 ,15.756  
L_0_entry_rate_whole          ,3.6220   ,7.3874   ,0.4903 ,0.6240 ,-10.864 ,18.108  
L_0_log_gdp                   ,0.5048   ,1.2464   ,0.4050 ,0.6855 ,-1.9393 ,2.9489  
L_1_entry_rate_whole          ,-6.8762  ,9.7815   ,-0.7030,0.4821 ,-26.057 ,12.304  
L_1_log_gdp                   ,0.2982   ,1.6528   ,0.1804 ,0.8568 ,-2.9428 ,3.5391  
L_2_entry_rate_whole          ,-2.0310  ,9.6773   ,-0.2099,0.8338 ,-21.007 ,16.945  
L_2_log_gdp                   ,-2.2029  ,1.7500   ,-1.2588,0.2082 ,-5.6346 ,1.2287  
L_3_entry_rate_whole          ,-2.8152  ,7.2299   ,-0.3894,0.6970 ,-16.992 ,11.362  
L_3_log_gdp                   ,1.9537   ,1.2388   ,1.5771 ,0.1149 ,-0.4754 ,4.3828  
cross                         ,-3.6565  ,1.1512   ,-3.1762,0.0015 ,-5.9139 ,-1.3990 
full_chg_restriction_2_0      ,-0.1036  ,1.2420   ,-0.0834,0.9336 ,-2.5390 ,2.3319  
large_firm                    ,49.156   ,12.356   ,3.9785 ,0.0001 ,24.928  ,73.385  
pre_cohort_log_restriction_2_0,-0.3523  ,0.4227   ,-0.8334,0.4047 ,-1.1812 ,0.4766  

F-test for Poolability: 4.6377
P-value: 0.0000
Distribution: F(48,2492)

Included effects: Entity, Time
