                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.0347    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-0.3673   
No. Observations:,6270             ,  R-squared (Within):  ,-0.0434   
Date:            ,Thu, Jul 21 2022 ,  R-squared (Overall): ,-0.1514   
Time:            ,14:26:50         ,  Log-likelihood       ,-1.149e+04
Cov. Estimator:  ,Clustered        ,                       ,          
                 ,                 ,  F-statistic:         ,1420.3    
Entities:        ,262              ,  P-value              ,0.0000    
Avg Obs:         ,23.931           ,  Distribution:        ,F(14,5982)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,33.000           ,  F-statistic (robust):,-3.621e+12
                 ,                 ,  P-value              ,1.0000    
Time periods:    ,34               ,  Distribution:        ,F(14,5982)
Avg Obs:         ,184.41           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,197.00           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,1.3060   ,8.0826   ,0.1616 ,0.8716 ,-14.539 ,17.151  
L_0_entry_rate_whole          ,9.8382   ,2.4699   ,3.9833 ,0.0001 ,4.9964  ,14.680  
L_0_log_gdp                   ,0.8890   ,0.6276   ,1.4166 ,0.1567 ,-0.3413 ,2.1193  
L_1_entry_rate_whole          ,-2.4123  ,1.5394   ,-1.5670,0.1172 ,-5.4300 ,0.6055  
L_1_log_gdp                   ,0.8036   ,1.2141   ,0.6619 ,0.5081 ,-1.5765 ,3.1836  
L_2_entry_rate_whole          ,1.2453   ,1.0492   ,1.1869 ,0.2353 ,-0.8114 ,3.3020  
L_2_log_gdp                   ,-3.0186  ,1.3188   ,-2.2889,0.0221 ,-5.6039 ,-0.4333 
L_3_entry_rate_whole          ,-1.9043  ,1.0845   ,-1.7559,0.0792 ,-4.0304 ,0.2218  
L_3_log_gdp                   ,-0.0697  ,0.6647   ,-0.1048,0.9165 ,-1.3727 ,1.2334  
L_4_entry_rate_whole          ,-0.6856  ,1.4977   ,-0.4578,0.6471 ,-3.6217 ,2.2504  
L_4_log_gdp                   ,1.3351   ,0.4766   ,2.8015 ,0.0051 ,0.4009  ,2.2694  
L_5_entry_rate_whole          ,0.0526   ,0.8201   ,0.0642 ,0.9488 ,-1.5552 ,1.6604  
L_5_log_gdp                   ,1.0988   ,0.7397   ,1.4855 ,0.1375 ,-0.3512 ,2.5488  
full_chg_restriction_2_0      ,0.4689   ,1.6341   ,0.2869 ,0.7742 ,-2.7347 ,3.6724  
pre_cohort_log_restriction_2_0,-0.3695  ,0.6880   ,-0.5371,0.5912 ,-1.7182 ,0.9792  

F-test for Poolability: 10.158
P-value: 0.0000
Distribution: F(273,5982)

Included effects: Entity, Time
