                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.0222    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-0.1581   
No. Observations:,5872             ,  R-squared (Within):  ,-0.0010   
Date:            ,Thu, Jul 21 2022 ,  R-squared (Overall): ,-0.0461   
Time:            ,14:26:50         ,  Log-likelihood       ,-1.226e+04
Cov. Estimator:  ,Clustered        ,                       ,          
                 ,                 ,  F-statistic:         ,672.10    
Entities:        ,262              ,  P-value              ,0.0000    
Avg Obs:         ,22.412           ,  Distribution:        ,F(16,5587)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,31.000           ,  F-statistic (robust):,3.457e+13 
                 ,                 ,  P-value              ,0.0000    
Time periods:    ,33               ,  Distribution:        ,F(16,5587)
Avg Obs:         ,177.94           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,198.00           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.4281   ,7.8183   ,0.0548 ,0.9563 ,-14.899 ,15.755  
L_0_entry_rate_whole          ,6.8240   ,3.3993   ,2.0075 ,0.0447 ,0.1600  ,13.488  
L_0_log_gdp                   ,2.1276   ,0.8729   ,2.4373 ,0.0148 ,0.4163  ,3.8389  
L_1_entry_rate_whole          ,-1.1414  ,4.1415   ,-0.2756,0.7829 ,-9.2603 ,6.9775  
L_1_log_gdp                   ,-1.6795  ,0.8152   ,-2.0603,0.0394 ,-3.2776 ,-0.0814 
L_2_entry_rate_whole          ,4.2362   ,1.1758   ,3.6028 ,0.0003 ,1.9311  ,6.5412  
L_2_log_gdp                   ,1.1352   ,1.4779   ,0.7681 ,0.4425 ,-1.7622 ,4.0325  
L_3_entry_rate_whole          ,3.1695   ,1.1130   ,2.8479 ,0.0044 ,0.9877  ,5.3514  
L_3_log_gdp                   ,-3.8556  ,1.5096   ,-2.5541,0.0107 ,-6.8149 ,-0.8963 
L_4_entry_rate_whole          ,-6.6349  ,1.4741   ,-4.5010,0.0000 ,-9.5247 ,-3.7451 
L_4_log_gdp                   ,3.2534   ,0.8176   ,3.9793 ,0.0001 ,1.6506  ,4.8562  
L_5_entry_rate_whole          ,-0.9520  ,1.6564   ,-0.5748,0.5655 ,-4.1991 ,2.2951  
L_5_log_gdp                   ,0.3547   ,1.1119   ,0.3190 ,0.7498 ,-1.8252 ,2.5345  
L_6_entry_rate_whole          ,0.7591   ,0.3453   ,2.1986 ,0.0279 ,0.0822  ,1.4359  
L_6_log_gdp                   ,-0.3976  ,1.3487   ,-0.2948,0.7682 ,-3.0417 ,2.2465  
full_chg_restriction_2_0      ,0.1157   ,2.0717   ,0.0558 ,0.9555 ,-3.9457 ,4.1770  
pre_cohort_log_restriction_2_0,-0.2605  ,0.6420   ,-0.4057,0.6850 ,-1.5191 ,0.9982  

F-test for Poolability: 6.2141
P-value: 0.0000
Distribution: F(268,5587)

Included effects: Entity, Time
