                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.0086    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-2.4161   
No. Observations:,2909             ,  R-squared (Within):  ,-0.1043   
Date:            ,Wed, Aug 10 2022 ,  R-squared (Overall): ,-0.2983   
Time:            ,16:23:31         ,  Log-likelihood       ,6840.2    
Cov. Estimator:  ,Robust           ,                       ,          
                 ,                 ,  F-statistic:         ,361.27    
Entities:        ,17               ,  P-value              ,0.0000    
Avg Obs:         ,171.12           ,  Distribution:        ,F(18,2845)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,261.00           ,  F-statistic (robust):,0.9778    
                 ,                 ,  P-value              ,0.4826    
Time periods:    ,38               ,  Distribution:        ,F(18,2845)
Avg Obs:         ,76.553           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,96.000           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.0844  ,0.0886   ,-0.9522,0.3411 ,-0.2581 ,0.0894  
L_0_entry_rate_whole          ,0.1074   ,0.1535   ,0.6995 ,0.4843 ,-0.1936 ,0.4083  
L_0_log_gdp                   ,0.0106   ,0.0182   ,0.5844 ,0.5590 ,-0.0250 ,0.0463  
L_1_entry_rate_whole          ,-0.0469  ,0.2179   ,-0.2154,0.8295 ,-0.4742 ,0.3803  
L_1_log_gdp                   ,-0.0072  ,0.0244   ,-0.2956,0.7676 ,-0.0550 ,0.0406  
L_2_entry_rate_whole          ,-0.0596  ,0.2087   ,-0.2854,0.7754 ,-0.4688 ,0.3497  
L_2_log_gdp                   ,-0.0004  ,0.0248   ,-0.0169,0.9866 ,-0.0491 ,0.0483  
L_3_entry_rate_whole          ,-0.0354  ,0.1967   ,-0.1802,0.8570 ,-0.4211 ,0.3502  
L_3_log_gdp                   ,-0.0178  ,0.0277   ,-0.6425,0.5206 ,-0.0722 ,0.0365  
L_4_entry_rate_whole          ,-0.0012  ,0.1627   ,-0.0072,0.9942 ,-0.3203 ,0.3179  
L_4_log_gdp                   ,0.0212   ,0.0271   ,0.7843 ,0.4329 ,-0.0319 ,0.0743  
L_5_entry_rate_whole          ,0.0120   ,0.1328   ,0.0904 ,0.9280 ,-0.2483 ,0.2723  
L_5_log_gdp                   ,-0.0006  ,0.0272   ,-0.0237,0.9811 ,-0.0540 ,0.0528  
L_6_entry_rate_whole          ,-0.0760  ,0.1023   ,-0.7430,0.4576 ,-0.2767 ,0.1246  
L_6_log_gdp                   ,0.0048   ,0.0194   ,0.2460 ,0.8057 ,-0.0333 ,0.0429  
cross                         ,-0.0077  ,0.0044   ,-1.7650,0.0777 ,-0.0163 ,0.0009  
full_chg_restriction_2_0      ,0.0192   ,0.0346   ,0.5548 ,0.5791 ,-0.0487 ,0.0871  
large_firm                    ,0.0961   ,0.0479   ,2.0057 ,0.0450 ,0.0022  ,0.1901  
pre_cohort_log_restriction_2_0,0.0065   ,0.0067   ,0.9822 ,0.3261 ,-0.0065 ,0.0196  

F-test for Poolability: 5.0189
P-value: 0.0000
Distribution: F(45,2845)

Included effects: Entity, Time
