                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.0107    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-2.5074   
No. Observations:,3182             ,  R-squared (Within):  ,-0.0092   
Date:            ,Wed, Aug 10 2022 ,  R-squared (Overall): ,-0.1707   
Time:            ,16:23:31         ,  Log-likelihood       ,7834.9    
Cov. Estimator:  ,Robust           ,                       ,          
                 ,                 ,  F-statistic:         ,698.25    
Entities:        ,17               ,  P-value              ,0.0000    
Avg Obs:         ,187.18           ,  Distribution:        ,F(14,3117)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,277.00           ,  F-statistic (robust):,2.5362    
                 ,                 ,  P-value              ,0.0013    
Time periods:    ,38               ,  Distribution:        ,F(14,3117)
Avg Obs:         ,83.737           ,                       ,          
Min Obs:         ,74.000           ,                       ,          
Max Obs:         ,99.000           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.0277   ,0.0578   ,0.4796 ,0.6316 ,-0.0855 ,0.1409  
L_0_chg_log_restriction_2_0   ,-0.0017  ,0.0096   ,-0.1784,0.8585 ,-0.0204 ,0.0170  
L_0_entry_rate_whole          ,0.0589   ,0.0862   ,0.6832 ,0.4946 ,-0.1102 ,0.2280  
L_0_log_gdp                   ,0.0082   ,0.0136   ,0.6052 ,0.5451 ,-0.0184 ,0.0349  
L_1_chg_log_restriction_2_0   ,8.67e-05 ,0.0084   ,0.0104 ,0.9917 ,-0.0163 ,0.0165  
L_1_entry_rate_whole          ,-0.0884  ,0.1141   ,-0.7742,0.4389 ,-0.3122 ,0.1354  
L_1_log_gdp                   ,-0.0004  ,0.0185   ,-0.0222,0.9823 ,-0.0366 ,0.0358  
L_2_chg_log_restriction_2_0   ,0.0008   ,0.0090   ,0.0876 ,0.9302 ,-0.0168 ,0.0184  
L_2_entry_rate_whole          ,-0.0207  ,0.1107   ,-0.1869,0.8517 ,-0.2378 ,0.1964  
L_2_log_gdp                   ,-0.0217  ,0.0195   ,-1.1125,0.2660 ,-0.0601 ,0.0166  
L_3_entry_rate_whole          ,-0.0255  ,0.0800   ,-0.3190,0.7497 ,-0.1823 ,0.1313  
L_3_log_gdp                   ,0.0210   ,0.0140   ,1.5021 ,0.1332 ,-0.0064 ,0.0484  
cross                         ,-0.0258  ,0.0069   ,-3.7412,0.0002 ,-0.0393 ,-0.0123 
large_firm                    ,0.3017   ,0.0755   ,3.9982 ,0.0001 ,0.1537  ,0.4497  
pre_cohort_log_restriction_2_0,-0.0020  ,0.0044   ,-0.4451,0.6563 ,-0.0107 ,0.0067  

F-test for Poolability: 5.8430
P-value: 0.0000
Distribution: F(50,3117)

Included effects: Entity, Time
