                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.0259    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-0.4247   
No. Observations:,8761             ,  R-squared (Within):  ,-0.1688   
Date:            ,Wed, Aug 10 2022 ,  R-squared (Overall): ,-0.2653   
Time:            ,16:23:28         ,  Log-likelihood       ,2.527e+04 
Cov. Estimator:  ,Clustered        ,                       ,          
                 ,                 ,  F-statistic:         ,2859.9    
Entities:        ,262              ,  P-value              ,0.0000    
Avg Obs:         ,33.439           ,  Distribution:        ,F(15,8467)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,37.000           ,  F-statistic (robust):,8.759e+12 
                 ,                 ,  P-value              ,0.0000    
Time periods:    ,38               ,  Distribution:        ,F(15,8467)
Avg Obs:         ,230.55           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,239.00           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.0296  ,0.0470   ,-0.6291,0.5293 ,-0.1217 ,0.0626  
L_0_chg_log_restriction_2_0   ,-0.0013  ,0.0061   ,-0.2194,0.8264 ,-0.0134 ,0.0107  
L_0_entry_rate_whole          ,0.0835   ,0.0160   ,5.2220 ,0.0000 ,0.0521  ,0.1148  
L_0_log_gdp                   ,0.0248   ,0.0052   ,4.7903 ,0.0000 ,0.0146  ,0.0349  
L_1_chg_log_restriction_2_0   ,0.0065   ,0.0046   ,1.4137 ,0.1575 ,-0.0025 ,0.0156  
L_1_entry_rate_whole          ,-0.0383  ,0.0131   ,-2.9239,0.0035 ,-0.0640 ,-0.0126 
L_1_log_gdp                   ,-0.0240  ,0.0084   ,-2.8591,0.0043 ,-0.0405 ,-0.0076 
L_2_chg_log_restriction_2_0   ,0.0028   ,0.0022   ,1.2677 ,0.2049 ,-0.0015 ,0.0072  
L_2_entry_rate_whole          ,-0.0160  ,0.0143   ,-1.1187,0.2633 ,-0.0439 ,0.0120  
L_2_log_gdp                   ,-0.0134  ,0.0083   ,-1.6267,0.1038 ,-0.0297 ,0.0028  
L_3_chg_log_restriction_2_0   ,0.0071   ,0.0046   ,1.5320 ,0.1256 ,-0.0020 ,0.0162  
L_3_entry_rate_whole          ,-0.0276  ,0.0143   ,-1.9226,0.0546 ,-0.0557 ,0.0005  
L_3_log_gdp                   ,0.0006   ,0.0084   ,0.0717 ,0.9428 ,-0.0159 ,0.0171  
L_4_entry_rate_whole          ,0.0161   ,0.0101   ,1.5921 ,0.1114 ,-0.0037 ,0.0358  
L_4_log_gdp                   ,0.0227   ,0.0098   ,2.3051 ,0.0212 ,0.0034  ,0.0419  
pre_cohort_log_restriction_2_0,0.0006   ,0.0036   ,0.1767 ,0.8598 ,-0.0064 ,0.0076  

F-test for Poolability: 16.359
P-value: 0.0000
Distribution: F(278,8467)

Included effects: Entity, Time
