                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.0432    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,0.5012    
No. Observations:,2566             ,  R-squared (Within):  ,0.0501    
Date:            ,Wed, Jul 13 2022 ,  R-squared (Overall): ,0.0623    
Time:            ,09:52:37         ,  Log-likelihood       ,-8814.8   
Cov. Estimator:  ,Robust           ,                       ,          
                 ,                 ,  F-statistic:         ,7.5356    
Entities:        ,17               ,  P-value              ,0.0000    
Avg Obs:         ,150.94           ,  Distribution:        ,F(15,2502)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,238.00           ,  F-statistic (robust):,3.2998    
                 ,                 ,  P-value              ,0.0000    
Time periods:    ,39               ,  Distribution:        ,F(15,2502)
Avg Obs:         ,65.795           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,84.000           ,                       ,          
                 ,                 ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-5.7630  ,12.598   ,-0.4575,0.6474 ,-30.466 ,18.940  
L_0_entry_rate_whole   ,-12.916  ,18.073   ,-0.7146,0.4749 ,-48.356 ,22.524  
L_0_log_gdp            ,2.9029   ,2.1040   ,1.3797 ,0.1678 ,-1.2228 ,7.0286  
L_0_log_restriction_2_0,-0.3641  ,2.5289   ,-0.1440,0.8855 ,-5.3231 ,4.5949  
L_1_entry_rate_whole   ,21.709   ,21.036   ,1.0320 ,0.3022 ,-19.541 ,62.959  
L_1_log_gdp            ,-0.4874  ,3.1193   ,-0.1563,0.8758 ,-6.6040 ,5.6292  
L_1_log_restriction_2_0,2.0414   ,3.7303   ,0.5472 ,0.5843 ,-5.2733 ,9.3561  
L_2_entry_rate_whole   ,3.7447   ,21.653   ,0.1729 ,0.8627 ,-38.714 ,46.204  
L_2_log_gdp            ,-2.6406  ,2.9222   ,-0.9036,0.3663 ,-8.3708 ,3.0895  
L_2_log_restriction_2_0,1.1606   ,4.2342   ,0.2741 ,0.7840 ,-7.1422 ,9.4635  
L_3_entry_rate_whole   ,8.8330   ,16.603   ,0.5320 ,0.5948 ,-23.724 ,41.390  
L_3_log_gdp            ,0.7626   ,2.1641   ,0.3524 ,0.7246 ,-3.4810 ,5.0063  
L_3_log_restriction_2_0,-2.5155  ,2.9379   ,-0.8562,0.3920 ,-8.2764 ,3.2454  
cross                  ,-1.0106  ,0.6456   ,-1.5656,0.1176 ,-2.2765 ,0.2552  
large_firm             ,15.545   ,6.9727   ,2.2295 ,0.0259 ,1.8725  ,29.218  
log_emp_cohort         ,0.0686   ,0.3626   ,0.1892 ,0.8500 ,-0.6424 ,0.7796  

F-test for Poolability: 2.4645
P-value: 0.0000
Distribution: F(48,2502)

Included effects: Entity, Time
