                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_entry_rate,  R-squared:           ,0.0188    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-0.5182   
No. Observations:,7770             ,  R-squared (Within):  ,-0.1563   
Date:            ,Wed, Aug 10 2022 ,  R-squared (Overall): ,-0.2791   
Time:            ,16:23:28         ,  Log-likelihood       ,2.092e+04 
Cov. Estimator:  ,Clustered        ,                       ,          
                 ,                 ,  F-statistic:         ,1089.5    
Entities:        ,262              ,  P-value              ,0.0000    
Avg Obs:         ,29.656           ,  Distribution:        ,F(21,7477)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,33.000           ,  F-statistic (robust):,-4.106e+15
                 ,                 ,  P-value              ,1.0000    
Time periods:    ,38               ,  Distribution:        ,F(21,7477)
Avg Obs:         ,204.47           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,238.00           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.0892  ,0.0611   ,-1.4602,0.1443 ,-0.2090 ,0.0306  
L_0_chg_log_restriction_2_0   ,-0.0038  ,0.0060   ,-0.6351,0.5254 ,-0.0156 ,0.0080  
L_0_entry_rate_whole          ,0.1014   ,0.0233   ,4.3556 ,0.0000 ,0.0557  ,0.1470  
L_0_log_gdp                   ,0.0183   ,0.0054   ,3.3673 ,0.0008 ,0.0076  ,0.0289  
L_1_chg_log_restriction_2_0   ,0.0052   ,0.0049   ,1.0725 ,0.2835 ,-0.0043 ,0.0147  
L_1_entry_rate_whole          ,-0.0531  ,0.0282   ,-1.8830,0.0597 ,-0.1085 ,0.0022  
L_1_log_gdp                   ,-0.0185  ,0.0070   ,-2.6306,0.0085 ,-0.0323 ,-0.0047 
L_2_chg_log_restriction_2_0   ,0.0127   ,0.0074   ,1.7222 ,0.0851 ,-0.0018 ,0.0272  
L_2_entry_rate_whole          ,0.0139   ,0.0252   ,0.5511 ,0.5816 ,-0.0354 ,0.0632  
L_2_log_gdp                   ,0.0151   ,0.0111   ,1.3585 ,0.1744 ,-0.0067 ,0.0369  
L_3_chg_log_restriction_2_0   ,0.0054   ,0.0053   ,1.0225 ,0.3066 ,-0.0049 ,0.0157  
L_3_entry_rate_whole          ,0.0043   ,0.0197   ,0.2172 ,0.8281 ,-0.0344 ,0.0430  
L_3_log_gdp                   ,-0.0369  ,0.0109   ,-3.3927,0.0007 ,-0.0583 ,-0.0156 
L_4_chg_log_restriction_2_0   ,0.0041   ,0.0024   ,1.6832 ,0.0924 ,-0.0007 ,0.0089  
L_4_entry_rate_whole          ,-0.0267  ,0.0253   ,-1.0540,0.2919 ,-0.0764 ,0.0230  
L_4_log_gdp                   ,0.0273   ,0.0056   ,4.8578 ,0.0000 ,0.0163  ,0.0384  
L_5_chg_log_restriction_2_0   ,-0.0001  ,0.0037   ,-0.0279,0.9778 ,-0.0074 ,0.0072  
L_5_entry_rate_whole          ,0.0014   ,0.0187   ,0.0745 ,0.9406 ,-0.0352 ,0.0380  
L_5_log_gdp                   ,0.0015   ,0.0098   ,0.1506 ,0.8803 ,-0.0178 ,0.0207  
L_6_entry_rate_whole          ,-0.0137  ,0.0159   ,-0.8641,0.3876 ,-0.0448 ,0.0174  
L_6_log_gdp                   ,0.0049   ,0.0095   ,0.5153 ,0.6064 ,-0.0137 ,0.0235  
pre_cohort_log_restriction_2_0,0.0052   ,0.0045   ,1.1610 ,0.2457 ,-0.0036 ,0.0140  

F-test for Poolability: 10.387
P-value: 0.0000
Distribution: F(271,7477)

Included effects: Entity, Time
