                     IV-2SLS Estimation Summary                     
Dep. Variable:   ,estabs_entry_rate,  R-squared:         ,0.8432    
Estimator:       ,IV-2SLS          ,  Adj. R-squared:    ,0.8376    
No. Observations:,9050             ,  F-statistic:       ,-4.296e+13
Date:            ,Tue, Oct 18 2022 ,  P-value (F-stat)   ,1.0000    
Time:            ,11:45:07         ,  Distribution:      ,chi2(314) 
Cov. Estimator:  ,heteroskedastic  ,                     ,          
                 ,                 ,                     ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.2111]      ,0.5785   ,0.1488   ,3.8863 ,0.0001 ,0.2867  ,0.8702  
C(sector)[T.2121]      ,0.6068   ,0.1494   ,4.0626 ,0.0000 ,0.3141  ,0.8996  
C(sector)[T.2122]      ,0.6102   ,0.1492   ,4.0909 ,0.0000 ,0.3179  ,0.9025  
C(sector)[T.2123]      ,0.5541   ,0.1488   ,3.7244 ,0.0002 ,0.2625  ,0.8457  
C(sector)[T.2131]      ,0.6128   ,0.1488   ,4.1196 ,0.0000 ,0.3212  ,0.9043  
C(sector)[T.2211]      ,0.5656   ,0.1530   ,3.6966 ,0.0002 ,0.2657  ,0.8654  
C(sector)[T.2212]      ,0.5639   ,0.1522   ,3.7039 ,0.0002 ,0.2655  ,0.8623  
C(sector)[T.2213]      ,0.5669   ,0.1525   ,3.7175 ,0.0002 ,0.2680  ,0.8659  
C(sector)[T.2361]      ,0.6112   ,0.1263   ,4.8392 ,0.0000 ,0.3636  ,0.8587  
C(sector)[T.2362]      ,0.5411   ,0.1267   ,4.2710 ,0.0000 ,0.2928  ,0.7893  
C(sector)[T.2371]      ,0.5210   ,0.1265   ,4.1184 ,0.0000 ,0.2730  ,0.7689  
C(sector)[T.2372]      ,0.5979   ,0.1272   ,4.6999 ,0.0000 ,0.3486  ,0.8472  
C(sector)[T.2373]      ,0.5107   ,0.1268   ,4.0279 ,0.0001 ,0.2622  ,0.7591  
C(sector)[T.2379]      ,0.5518   ,0.1269   ,4.3474 ,0.0000 ,0.3030  ,0.8006  
C(sector)[T.2381]      ,0.5682   ,0.1267   ,4.4842 ,0.0000 ,0.3199  ,0.8166  
C(sector)[T.2382]      ,0.5376   ,0.1265   ,4.2503 ,0.0000 ,0.2897  ,0.7856  
C(sector)[T.2383]      ,0.5847   ,0.1266   ,4.6175 ,0.0000 ,0.3365  ,0.8328  
C(sector)[T.2389]      ,0.5720   ,0.1263   ,4.5304 ,0.0000 ,0.3245  ,0.8194  
C(sector)[T.3111]      ,0.6630   ,0.1852   ,3.5790 ,0.0003 ,0.2999  ,1.0260  
C(sector)[T.3112]      ,0.6524   ,0.1856   ,3.5145 ,0.0004 ,0.2886  ,1.0162  
C(sector)[T.3113]      ,0.6900   ,0.1857   ,3.7167 ,0.0002 ,0.3261  ,1.0539  
C(sector)[T.3114]      ,0.6747   ,0.1858   ,3.6321 ,0.0003 ,0.3106  ,1.0388  
C(sector)[T.3115]      ,0.6544   ,0.1853   ,3.5319 ,0.0004 ,0.2913  ,1.0176  
C(sector)[T.3116]      ,0.6642   ,0.1853   ,3.5843 ,0.0003 ,0.3010  ,1.0275  
C(sector)[T.3117]      ,0.6735   ,0.1853   ,3.6353 ,0.0003 ,0.3104  ,1.0366  
C(sector)[T.3118]      ,0.7100   ,0.1857   ,3.8240 ,0.0001 ,0.3461  ,1.0738  
C(sector)[T.3119]      ,0.7008   ,0.1860   ,3.7684 ,0.0002 ,0.3363  ,1.0653  
C(sector)[T.3121]      ,0.7401   ,0.1866   ,3.9652 ,0.0001 ,0.3743  ,1.1059  
C(sector)[T.3122]      ,0.6937   ,0.1860   ,3.7297 ,0.0002 ,0.3291  ,1.0582  
C(sector)[T.3131]      ,0.6568   ,0.1853   ,3.5453 ,0.0004 ,0.2937  ,1.0199  
C(sector)[T.3132]      ,0.6626   ,0.1851   ,3.5802 ,0.0003 ,0.2999  ,1.0253  
C(sector)[T.3133]      ,0.6948   ,0.1852   ,3.7509 ,0.0002 ,0.3318  ,1.0579  
C(sector)[T.3141]      ,0.6784   ,0.1849   ,3.6684 ,0.0002 ,0.3159  ,1.0408  
C(sector)[T.3149]      ,0.7059   ,0.1857   ,3.8009 ,0.0001 ,0.3419  ,1.0699  
C(sector)[T.3151]      ,0.6737   ,0.1843   ,3.6556 ,0.0003 ,0.3125  ,1.0348  
C(sector)[T.3152]      ,0.7574   ,0.1849   ,4.0960 ,0.0000 ,0.3950  ,1.1198  
C(sector)[T.3159]      ,0.7055   ,0.1847   ,3.8208 ,0.0001 ,0.3436  ,1.0674  
C(sector)[T.3161]      ,0.6670   ,0.1851   ,3.6041 ,0.0003 ,0.3043  ,1.0297  
C(sector)[T.3162]      ,0.6685   ,0.1851   ,3.6121 ,0.0003 ,0.3058  ,1.0313  
C(sector)[T.3169]      ,0.6872   ,0.1852   ,3.7108 ,0.0002 ,0.3242  ,1.0501  
C(sector)[T.3211]      ,0.6757   ,0.1852   ,3.6484 ,0.0003 ,0.3127  ,1.0387  
C(sector)[T.3212]      ,0.6656   ,0.1856   ,3.5853 ,0.0003 ,0.3017  ,1.0294  
C(sector)[T.3219]      ,0.6954   ,0.1856   ,3.7476 ,0.0002 ,0.3317  ,1.0591  
C(sector)[T.3221]      ,0.6433   ,0.1857   ,3.4635 ,0.0005 ,0.2793  ,1.0073  
C(sector)[T.3222]      ,0.6457   ,0.1854   ,3.4834 ,0.0005 ,0.2824  ,1.0090  
C(sector)[T.3231]      ,0.6720   ,0.1852   ,3.6290 ,0.0003 ,0.3091  ,1.0350  
C(sector)[T.3241]      ,0.6662   ,0.1854   ,3.5939 ,0.0003 ,0.3029  ,1.0295  
C(sector)[T.3251]      ,0.6614   ,0.1858   ,3.5598 ,0.0004 ,0.2972  ,1.0255  
C(sector)[T.3252]      ,0.6611   ,0.1866   ,3.5431 ,0.0004 ,0.2954  ,1.0268  
C(sector)[T.3253]      ,0.6681   ,0.1857   ,3.5977 ,0.0003 ,0.3041  ,1.0320  
C(sector)[T.3254]      ,0.6890   ,0.1861   ,3.7032 ,0.0002 ,0.3243  ,1.0537  
C(sector)[T.3255]      ,0.6545   ,0.1855   ,3.5291 ,0.0004 ,0.2910  ,1.0181  
C(sector)[T.3256]      ,0.6743   ,0.1856   ,3.6333 ,0.0003 ,0.3106  ,1.0380  
C(sector)[T.3259]      ,0.6732   ,0.1855   ,3.6282 ,0.0003 ,0.3095  ,1.0369  
C(sector)[T.3261]      ,0.6635   ,0.1855   ,3.5775 ,0.0003 ,0.3000  ,1.0271  
C(sector)[T.3262]      ,0.6601   ,0.1853   ,3.5624 ,0.0004 ,0.2969  ,1.0233  
