                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit_rate,  R-squared:           ,0.0088    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-1.0176   
No. Observations:,3041            ,  R-squared (Within):  ,-0.0623   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.1272   
Time:            ,16:23:56        ,  Log-likelihood       ,3276.2    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,495.36    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,178.88          ,  Distribution:        ,F(18,2975)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,272.00          ,  F-statistic (robust):,28.230    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(18,2975)
Avg Obs:         ,80.026          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.2237  ,0.3751   ,-0.5965,0.5509 ,-0.9591 ,0.5117  
L_0_entry_rate_whole          ,-0.0845  ,0.5761   ,-0.1467,0.8834 ,-1.2141 ,1.0451  
L_0_log_gdp                   ,-0.0671  ,0.0789   ,-0.8503,0.3952 ,-0.2219 ,0.0876  
L_1_entry_rate_whole          ,-0.0549  ,0.7694   ,-0.0713,0.9431 ,-1.5635 ,1.4537  
L_1_log_gdp                   ,-0.0397  ,0.1076   ,-0.3687,0.7124 ,-0.2506 ,0.1713  
L_2_entry_rate_whole          ,0.2945   ,0.6550   ,0.4497 ,0.6530 ,-0.9897 ,1.5788  
L_2_log_gdp                   ,0.0793   ,0.1042   ,0.7609 ,0.4468 ,-0.1250 ,0.2836  
L_3_entry_rate_whole          ,0.0133   ,0.5640   ,0.0235 ,0.9813 ,-1.0926 ,1.1191  
L_3_log_gdp                   ,0.0354   ,0.0936   ,0.3777 ,0.7057 ,-0.1483 ,0.2190  
L_4_entry_rate_whole          ,-0.0197  ,0.5398   ,-0.0366,0.9708 ,-1.0782 ,1.0387  
L_4_log_gdp                   ,-0.0046  ,0.0910   ,-0.0501,0.9600 ,-0.1830 ,0.1739  
L_5_entry_rate_whole          ,-0.0306  ,0.4031   ,-0.0759,0.9395 ,-0.8211 ,0.7599  
L_5_log_gdp                   ,0.0211   ,0.0670   ,0.3143 ,0.7533 ,-0.1104 ,0.1525  
cross                         ,-0.0142  ,0.0044   ,-3.2670,0.0011 ,-0.0228 ,-0.0057 
curr_chg_restriction_2_0      ,0.0222   ,0.0621   ,0.3572 ,0.7210 ,-0.0996 ,0.1440  
enter_chg_restriction_2_0     ,-0.0063  ,0.0503   ,-0.1262,0.8996 ,-0.1049 ,0.0922  
large_firm                    ,0.0399   ,0.0468   ,0.8525 ,0.3940 ,-0.0519 ,0.1317  
life_chg_restriction_2_0      ,0.0507   ,0.1084   ,0.4679 ,0.6399 ,-0.1618 ,0.2632  
pre_cohort_log_restriction_2_0,0.0204   ,0.0271   ,0.7552 ,0.4502 ,-0.0326 ,0.0735  

F-test for Poolability: 1.7941
P-value: 0.0008
Distribution: F(47,2975)

Included effects: Entity, Time
