                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_exit_rate,  R-squared:           ,0.2182     
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4654    
No. Observations:,13470           ,  R-squared (Within):  ,0.2157     
Date:            ,Wed, Jul 13 2022,  R-squared (Overall): ,0.1678     
Time:            ,09:50:58        ,  Log-likelihood       ,-4.909e+04 
Cov. Estimator:  ,Robust          ,                       ,           
                 ,                ,  F-statistic:         ,4085.4     
Entities:        ,17              ,  P-value              ,0.0000     
Avg Obs:         ,792.35          ,  Distribution:        ,F(13,13403)
Min Obs:         ,0.0000          ,                       ,           
Max Obs:         ,1199.0          ,  F-statistic (robust):,145.81     
                 ,                ,  P-value              ,0.0000     
Time periods:    ,41              ,  Distribution:        ,F(13,13403)
Avg Obs:         ,328.54          ,                       ,           
Min Obs:         ,69.000          ,                       ,           
Max Obs:         ,398.00          ,                       ,           
                 ,                ,                       ,           
                                  Parameter Estimates                                   
                                  ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.1.0]           ,-3.9585  ,16.102   ,-0.2458,0.8058 ,-35.521 ,27.604  
C(age_grp_dummy)[T.2.0]           ,-10.585  ,16.077   ,-0.6584,0.5103 ,-42.098 ,20.929  
C(age_grp_dummy)[T.3.0]           ,-12.688  ,16.056   ,-0.7903,0.4294 ,-44.159 ,18.783  
C(age_grp_dummy)[T.4.0]           ,-13.913  ,16.036   ,-0.8676,0.3856 ,-45.347 ,17.520  
C(age_grp_dummy)[T.5.0]           ,-14.421  ,16.016   ,-0.9004,0.3679 ,-45.815 ,16.974  
L_0_entry_rate_whole              ,-24.559  ,16.207   ,-1.5153,0.1297 ,-56.328 ,7.2095  
L_0_log_gdp                       ,-12.240  ,2.8328   ,-4.3209,0.0000 ,-17.793 ,-6.6874 
L_0_log_restriction_2_0           ,4.0925   ,2.3476   ,1.7432 ,0.0813 ,-0.5092 ,8.6942  
avg_entry_rate_whole              ,0.7986   ,15.941   ,0.0501 ,0.9600 ,-30.448 ,32.045  
avg_log_gdp                       ,12.013   ,2.6358   ,4.5575 ,0.0000 ,6.8463  ,17.179  
avg_log_restriction_2_0           ,-3.2798  ,2.3707   ,-1.3835,0.1665 ,-7.9268 ,1.3671  
large_firm                        ,24.493   ,4.9901   ,4.9083 ,0.0000 ,14.712  ,34.275  
log_emp_cohort                    ,2.3089   ,0.4110   ,5.6174 ,0.0000 ,1.5032  ,3.1146  
avg_log_restriction_2_0:large_firm,-3.1106  ,0.4405   ,-7.0608,0.0000 ,-3.9741 ,-2.2470 

F-test for Poolability: 11.442
P-value: 0.0000
Distribution: F(53,13403)

Included effects: Entity, Time
