                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_exit_rate,  R-squared:           ,0.3521     
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0323     
No. Observations:,30164           ,  R-squared (Within):  ,0.1769     
Date:            ,Tue, Jul 19 2022,  R-squared (Overall): ,0.1121     
Time:            ,12:29:03        ,  Log-likelihood       ,-7.6e+04   
Cov. Estimator:  ,Robust          ,                       ,           
                 ,                ,  F-statistic:         ,2.916e+04  
Entities:        ,262             ,  P-value              ,0.0000     
Avg Obs:         ,115.13          ,  Distribution:        ,F(13,29873)
Min Obs:         ,0.0000          ,                       ,           
Max Obs:         ,137.00          ,  F-statistic (robust):,1530.6     
                 ,                ,  P-value              ,0.0000     
Time periods:    ,36              ,  Distribution:        ,F(13,29873)
Avg Obs:         ,837.89          ,                       ,           
Min Obs:         ,215.00          ,                       ,           
Max Obs:         ,903.00          ,                       ,           
                 ,                ,                       ,           
                               Parameter Estimates                               
                           ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.2.0]    ,8.5679   ,4.9770   ,1.7215 ,0.0852 ,-1.1873 ,18.323  
C(age_grp_dummy)[T.3.0]    ,6.0661   ,4.9694   ,1.2207 ,0.2222 ,-3.6741 ,15.806  
C(age_grp_dummy)[T.4.0]    ,4.5413   ,4.9573   ,0.9161 ,0.3596 ,-5.1752 ,14.258  
C(age_grp_dummy)[T.5.0]    ,3.8040   ,4.9493   ,0.7686 ,0.4421 ,-5.8969 ,13.505  
L_0_entry_rate_whole       ,5.0590   ,3.7813   ,1.3379 ,0.1809 ,-2.3524 ,12.470  
L_0_log_gdp                ,-5.9705  ,0.8122   ,-7.3515,0.0000 ,-7.5624 ,-4.3787 
L_0_log_restriction_2_0    ,3.3771   ,0.5889   ,5.7342 ,0.0000 ,2.2228  ,4.5315  
cohort_entry_rate_whole    ,9.3643   ,2.0140   ,4.6497 ,0.0000 ,5.4168  ,13.312  
cohort_log_gdp             ,4.6396   ,0.6184   ,7.5025 ,0.0000 ,3.4275  ,5.8517  
cohort_log_restriction_2_0 ,-2.0273  ,0.5697   ,-3.5584,0.0004 ,-3.1440 ,-0.9106 
inc_avg_entry_rate_whole   ,-16.017  ,4.5385   ,-3.5292,0.0004 ,-24.913 ,-7.1214 
inc_avg_log_gdp            ,2.2377   ,0.9855   ,2.2706 ,0.0232 ,0.3061  ,4.1693  
inc_avg_log_restriction_2_0,-0.2211  ,0.8639   ,-0.2560,0.7980 ,-1.9143 ,1.4721  
log_emp_cohort             ,-0.7775  ,0.1069   ,-7.2761,0.0000 ,-0.9870 ,-0.5681 

F-test for Poolability: 71.284
P-value: 0.0000
Distribution: F(277,29873)

Included effects: Entity, Time
