                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit_rate,  R-squared:           ,0.0086    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-1.2550   
No. Observations:,3041            ,  R-squared (Within):  ,-0.0698   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.1503   
Time:            ,16:23:49        ,  Log-likelihood       ,3275.9    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,557.51    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,178.88          ,  Distribution:        ,F(16,2977)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,272.00          ,  F-statistic (robust):,31.677    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(16,2977)
Avg Obs:         ,80.026          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,96.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.2586  ,0.3726   ,-0.6939,0.4878 ,-0.9891 ,0.4720  
L_0_entry_rate_whole          ,-0.0877  ,0.5761   ,-0.1522,0.8791 ,-1.2173 ,1.0419  
L_0_log_gdp                   ,-0.0702  ,0.0793   ,-0.8843,0.3766 ,-0.2257 ,0.0854  
L_1_entry_rate_whole          ,-0.0237  ,0.7788   ,-0.0304,0.9757 ,-1.5507 ,1.5033  
L_1_log_gdp                   ,-0.0337  ,0.1078   ,-0.3128,0.7544 ,-0.2452 ,0.1777  
L_2_entry_rate_whole          ,0.2815   ,0.6668   ,0.4221 ,0.6730 ,-1.0260 ,1.5890  
L_2_log_gdp                   ,0.0757   ,0.1041   ,0.7270 ,0.4673 ,-0.1284 ,0.2798  
L_3_entry_rate_whole          ,0.0189   ,0.5668   ,0.0334 ,0.9733 ,-1.0924 ,1.1303  
L_3_log_gdp                   ,0.0361   ,0.0933   ,0.3869 ,0.6988 ,-0.1468 ,0.2190  
L_4_entry_rate_whole          ,-0.0284  ,0.5418   ,-0.0523,0.9583 ,-1.0908 ,1.0340  
L_4_log_gdp                   ,-0.0039  ,0.0912   ,-0.0432,0.9656 ,-0.1827 ,0.1748  
L_5_entry_rate_whole          ,-0.0398  ,0.4057   ,-0.0980,0.9219 ,-0.8353 ,0.7558  
L_5_log_gdp                   ,0.0221   ,0.0671   ,0.3302 ,0.7413 ,-0.1093 ,0.1536  
cross                         ,-0.0143  ,0.0044   ,-3.2859,0.0010 ,-0.0229 ,-0.0058 
full_chg_restriction_2_0      ,0.0474   ,0.1080   ,0.4388 ,0.6608 ,-0.1644 ,0.2592  
large_firm                    ,0.0409   ,0.0468   ,0.8735 ,0.3824 ,-0.0509 ,0.1328  
pre_cohort_log_restriction_2_0,0.0228   ,0.0272   ,0.8378 ,0.4022 ,-0.0305 ,0.0760  

F-test for Poolability: 1.7918
P-value: 0.0008
Distribution: F(47,2977)

Included effects: Entity, Time
