                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit_rate,  R-squared:           ,0.0510    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-1.1297   
No. Observations:,2711            ,  R-squared (Within):  ,-0.0126   
Date:            ,Wed, Jul 13 2022,  R-squared (Overall): ,-0.0418   
Time:            ,09:50:53        ,  Log-likelihood       ,-9846.1   
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,11.857    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,159.47          ,  Distribution:        ,F(12,2648)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,238.00          ,  F-statistic (robust):,18.500    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,40              ,  Distribution:        ,F(12,2648)
Avg Obs:         ,67.775          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,79.000          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,6.8861   ,17.801   ,0.3868 ,0.6989 ,-28.019 ,41.791  
L_0_entry_rate_whole   ,-12.986  ,23.710   ,-0.5477,0.5839 ,-59.478 ,33.505  
L_0_log_gdp            ,0.1195   ,3.5037   ,0.0341 ,0.9728 ,-6.7508 ,6.9898  
L_0_log_restriction_2_0,-0.5314  ,3.3921   ,-0.1566,0.8755 ,-7.1828 ,6.1201  
L_1_entry_rate_whole   ,-7.9265  ,29.257   ,-0.2709,0.7865 ,-65.295 ,49.441  
L_1_log_gdp            ,-3.9690  ,5.2915   ,-0.7501,0.4533 ,-14.345 ,6.4069  
L_1_log_restriction_2_0,6.1970   ,4.6086   ,1.3447 ,0.1788 ,-2.8398 ,15.234  
L_2_entry_rate_whole   ,13.038   ,22.477   ,0.5801 ,0.5619 ,-31.035 ,57.112  
L_2_log_gdp            ,6.1230   ,4.2943   ,1.4259 ,0.1540 ,-2.2974 ,14.544  
L_2_log_restriction_2_0,-5.7151  ,3.7669   ,-1.5172,0.1293 ,-13.102 ,1.6713  
cross                  ,-2.7885  ,0.8915   ,-3.1280,0.0018 ,-4.5366 ,-1.0405 
large_firm             ,22.324   ,9.8824   ,2.2590 ,0.0240 ,2.9462  ,41.702  
log_emp_cohort         ,-0.8383  ,0.3319   ,-2.5256,0.0116 ,-1.4891 ,-0.1874 

F-test for Poolability: 1.6663
P-value: 0.0024
Distribution: F(50,2648)

Included effects: Entity, Time
