                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit_rate,  R-squared:           ,0.0082    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.8631   
No. Observations:,3141            ,  R-squared (Within):  ,-0.0795   
Date:            ,Wed, Aug 10 2022,  R-squared (Overall): ,-0.1381   
Time:            ,16:23:50        ,  Log-likelihood       ,3091.6    
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,594.39    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,184.76          ,  Distribution:        ,F(17,3074)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,278.00          ,  F-statistic (robust):,24.007    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,38              ,  Distribution:        ,F(17,3074)
Avg Obs:         ,82.658          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,97.000          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.2525  ,0.3538   ,-0.7137,0.4754 ,-0.9462 ,0.4412  
L_0_chg_log_restriction_2_0   ,0.0263   ,0.0631   ,0.4174 ,0.6764 ,-0.0974 ,0.1501  
L_0_entry_rate_whole          ,-0.1295  ,0.4924   ,-0.2630,0.7926 ,-1.0949 ,0.8359  
L_0_log_gdp                   ,-0.0496  ,0.0850   ,-0.5834,0.5596 ,-0.2164 ,0.1171  
L_1_chg_log_restriction_2_0   ,0.0170   ,0.0563   ,0.3025 ,0.7623 ,-0.0933 ,0.1273  
L_1_entry_rate_whole          ,0.0650   ,0.6202   ,0.1048 ,0.9166 ,-1.1510 ,1.2809  
L_1_log_gdp                   ,-0.0571  ,0.1130   ,-0.5054,0.6133 ,-0.2786 ,0.1644  
L_2_chg_log_restriction_2_0   ,0.0080   ,0.0508   ,0.1585 ,0.8741 ,-0.0915 ,0.1076  
L_2_entry_rate_whole          ,0.0902   ,0.6072   ,0.1485 ,0.8819 ,-1.1004 ,1.2807  
L_2_log_gdp                   ,0.0848   ,0.1062   ,0.7993 ,0.4242 ,-0.1233 ,0.2930  
L_3_chg_log_restriction_2_0   ,-0.0006  ,0.0544   ,-0.0113,0.9910 ,-0.1073 ,0.1061  
L_3_entry_rate_whole          ,0.1622   ,0.5849   ,0.2773 ,0.7815 ,-0.9846 ,1.3090  
L_3_log_gdp                   ,0.0030   ,0.0994   ,0.0305 ,0.9757 ,-0.1919 ,0.1979  
L_4_entry_rate_whole          ,-0.0345  ,0.4288   ,-0.0805,0.9358 ,-0.8753 ,0.8063  
L_4_log_gdp                   ,0.0471   ,0.0734   ,0.6414 ,0.5213 ,-0.0969 ,0.1911  
cross                         ,-0.0177  ,0.0056   ,-3.1557,0.0016 ,-0.0288 ,-0.0067 
large_firm                    ,0.0661   ,0.0609   ,1.0847 ,0.2781 ,-0.0534 ,0.1856  
pre_cohort_log_restriction_2_0,0.0227   ,0.0259   ,0.8775 ,0.3803 ,-0.0280 ,0.0734  

F-test for Poolability: 2.1198
P-value: 0.0000
Distribution: F(49,3074)

Included effects: Entity, Time
