                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit_rate,  R-squared:           ,0.0461    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.1102   
No. Observations:,7183            ,  R-squared (Within):  ,-0.2881   
Date:            ,Tue, Jul 19 2022,  R-squared (Overall): ,-0.1740   
Time:            ,12:28:56        ,  Log-likelihood       ,-1.574e+04
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,6748.5    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,27.416          ,  Distribution:        ,F(18,6892)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,33.000          ,  F-statistic (robust):,9.8490    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(18,6892)
Avg Obs:         ,211.26          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,225.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-9.7152  ,5.2210   ,-1.8608,0.0628 ,-19.950 ,0.5196  
L_0_chg_restriction_2_0,2.4633   ,0.7896   ,3.1196 ,0.0018 ,0.9154  ,4.0113  
L_0_entry_rate_whole   ,-0.8764  ,3.1539   ,-0.2779,0.7811 ,-7.0591 ,5.3062  
L_0_log_gdp            ,-4.9806  ,1.4504   ,-3.4340,0.0006 ,-7.8237 ,-2.1374 
L_1_chg_restriction_2_0,3.7902   ,0.7905   ,4.7948 ,0.0000 ,2.2406  ,5.3397  
L_1_entry_rate_whole   ,-7.5405  ,3.6806   ,-2.0487,0.0405 ,-14.756 ,-0.3253 
L_1_log_gdp            ,-3.1151  ,2.0283   ,-1.5358,0.1246 ,-7.0913 ,0.8610  
L_2_chg_restriction_2_0,2.8977   ,0.8581   ,3.3770 ,0.0007 ,1.2156  ,4.5798  
L_2_entry_rate_whole   ,6.0640   ,3.0050   ,2.0180 ,0.0436 ,0.1733  ,11.955  
L_2_log_gdp            ,3.2043   ,1.8252   ,1.7556 ,0.0792 ,-0.3736 ,6.7822  
L_3_chg_restriction_2_0,2.4184   ,0.7339   ,3.2954 ,0.0010 ,0.9798  ,3.8570  
L_3_entry_rate_whole   ,1.8709   ,2.7208   ,0.6876 ,0.4917 ,-3.4627 ,7.2045  
L_3_log_gdp            ,3.8632   ,1.6695   ,2.3140 ,0.0207 ,0.5905  ,7.1359  
L_4_chg_restriction_2_0,2.0042   ,0.7534   ,2.6601 ,0.0078 ,0.5272  ,3.4812  
L_4_entry_rate_whole   ,-3.3677  ,4.6920   ,-0.7178,0.4729 ,-12.565 ,5.8300  
L_4_log_gdp            ,0.0021   ,1.5831   ,0.0014 ,0.9989 ,-3.1012 ,3.1055  
L_5_entry_rate_whole   ,4.2446   ,3.2285   ,1.3148 ,0.1886 ,-2.0841 ,10.573  
L_5_log_gdp            ,1.8112   ,1.0530   ,1.7201 ,0.0855 ,-0.2529 ,3.8754  
L_5_log_restriction_2_0,1.8454   ,0.3982   ,4.6343 ,0.0000 ,1.0648  ,2.6261  

F-test for Poolability: 25.346
P-value: 0.0000
Distribution: F(272,6892)

Included effects: Entity, Time
