                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit_rate,  R-squared:           ,0.0408    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.1557   
No. Observations:,6619            ,  R-squared (Within):  ,-0.2474   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.1919   
Time:            ,14:27:11        ,  Log-likelihood       ,-1.46e+04 
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,4319.4    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,25.263          ,  Distribution:        ,F(21,6329)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,31.000          ,  F-statistic (robust):,-3.877e+14
                 ,                ,  P-value              ,1.0000    
Time periods:    ,33              ,  Distribution:        ,F(21,6329)
Avg Obs:         ,200.58          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,226.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-8.8147  ,12.558   ,-0.7019,0.4827 ,-33.432 ,15.802  
L_0_chg_restriction_2_0       ,2.3448   ,0.8860   ,2.6465 ,0.0082 ,0.6079  ,4.0816  
L_0_entry_rate_whole          ,0.3505   ,5.2750   ,0.0664 ,0.9470 ,-9.9902 ,10.691  
L_0_log_gdp                   ,-5.1521  ,1.5975   ,-3.2251,0.0013 ,-8.2838 ,-2.0205 
L_1_chg_restriction_2_0       ,2.9288   ,1.3781   ,2.1253 ,0.0336 ,0.2273  ,5.6303  
L_1_entry_rate_whole          ,-4.3623  ,6.0560   ,-0.7203,0.4713 ,-16.234 ,7.5095  
L_1_log_gdp                   ,-1.5849  ,1.6510   ,-0.9600,0.3371 ,-4.8213 ,1.6516  
L_2_chg_restriction_2_0       ,3.5441   ,0.6834   ,5.1858 ,0.0000 ,2.2044  ,4.8839  
L_2_entry_rate_whole          ,0.9874   ,2.7384   ,0.3606 ,0.7184 ,-4.3809 ,6.3556  
L_2_log_gdp                   ,3.2872   ,1.0215   ,3.2182 ,0.0013 ,1.2848  ,5.2896  
L_3_chg_restriction_2_0       ,1.2564   ,0.6867   ,1.8298 ,0.0673 ,-0.0897 ,2.6025  
L_3_entry_rate_whole          ,0.1618   ,1.2121   ,0.1335 ,0.8938 ,-2.2143 ,2.5379  
L_3_log_gdp                   ,3.6602   ,1.4594   ,2.5080 ,0.0122 ,0.7993  ,6.5211  
L_4_chg_restriction_2_0       ,2.8129   ,0.7285   ,3.8610 ,0.0001 ,1.3847  ,4.2411  
L_4_entry_rate_whole          ,-6.6955  ,2.0164   ,-3.3206,0.0009 ,-10.648 ,-2.7427 
L_4_log_gdp                   ,-1.9179  ,1.4613   ,-1.3124,0.1894 ,-4.7826 ,0.9468  
L_5_chg_restriction_2_0       ,2.0024   ,0.9067   ,2.2086 ,0.0272 ,0.2251  ,3.7798  
L_5_entry_rate_whole          ,9.8104   ,1.7631   ,5.5642 ,0.0000 ,6.3541  ,13.267  
L_5_log_gdp                   ,1.6724   ,1.2334   ,1.3559 ,0.1752 ,-0.7455 ,4.0902  
L_6_entry_rate_whole          ,-1.2659  ,1.5665   ,-0.8081,0.4190 ,-4.3368 ,1.8049  
L_6_log_gdp                   ,0.8610   ,1.0734   ,0.8021 ,0.4225 ,-1.2432 ,2.9652  
pre_cohort_log_restriction_2_0,1.6389   ,1.2333   ,1.3290 ,0.1839 ,-0.7787 ,4.0565  

F-test for Poolability: 18.999
P-value: 0.0000
Distribution: F(268,6329)

Included effects: Entity, Time
