                    IV-2SLS Estimation Summary                    
Dep. Variable:   ,estabs_exit_rate,  R-squared:         ,0.5996   
Estimator:       ,IV-2SLS         ,  Adj. R-squared:    ,0.5852   
No. Observations:,9050            ,  F-statistic:       ,1.266e+14
Date:            ,Tue, Oct 18 2022,  P-value (F-stat)   ,0.0000   
Time:            ,11:45:10        ,  Distribution:      ,chi2(314)
Cov. Estimator:  ,heteroskedastic ,                     ,         
                 ,                ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.2111]      ,1.1889   ,0.2180   ,5.4546 ,0.0000 ,0.7617  ,1.6161  
C(sector)[T.2121]      ,1.2568   ,0.2187   ,5.7457 ,0.0000 ,0.8281  ,1.6855  
C(sector)[T.2122]      ,1.2335   ,0.2183   ,5.6505 ,0.0000 ,0.8057  ,1.6614  
C(sector)[T.2123]      ,1.1512   ,0.2178   ,5.2845 ,0.0000 ,0.7242  ,1.5781  
C(sector)[T.2131]      ,1.2040   ,0.2178   ,5.5274 ,0.0000 ,0.7771  ,1.6310  
C(sector)[T.2211]      ,1.1553   ,0.2241   ,5.1558 ,0.0000 ,0.7161  ,1.5945  
C(sector)[T.2212]      ,1.1734   ,0.2230   ,5.2612 ,0.0000 ,0.7363  ,1.6105  
C(sector)[T.2213]      ,1.1609   ,0.2234   ,5.1959 ,0.0000 ,0.7230  ,1.5988  
C(sector)[T.2361]      ,1.0902   ,0.1866   ,5.8434 ,0.0000 ,0.7245  ,1.4559  
C(sector)[T.2362]      ,1.0357   ,0.1864   ,5.5555 ,0.0000 ,0.6703  ,1.4011  
C(sector)[T.2371]      ,1.0163   ,0.1861   ,5.4604 ,0.0000 ,0.6515  ,1.3811  
C(sector)[T.2372]      ,1.1018   ,0.1869   ,5.8954 ,0.0000 ,0.7355  ,1.4681  
C(sector)[T.2373]      ,1.0127   ,0.1865   ,5.4289 ,0.0000 ,0.6471  ,1.3784  
C(sector)[T.2379]      ,1.0551   ,0.1868   ,5.6484 ,0.0000 ,0.6890  ,1.4212  
C(sector)[T.2381]      ,1.0602   ,0.1866   ,5.6821 ,0.0000 ,0.6945  ,1.4259  
C(sector)[T.2382]      ,1.0195   ,0.1860   ,5.4803 ,0.0000 ,0.6549  ,1.3841  
C(sector)[T.2383]      ,1.0689   ,0.1865   ,5.7328 ,0.0000 ,0.7035  ,1.4344  
C(sector)[T.2389]      ,1.0509   ,0.1862   ,5.6444 ,0.0000 ,0.6860  ,1.4159  
C(sector)[T.3111]      ,1.4121   ,0.2720   ,5.1924 ,0.0000 ,0.8791  ,1.9451  
C(sector)[T.3112]      ,1.3893   ,0.2725   ,5.0984 ,0.0000 ,0.8552  ,1.9234  
C(sector)[T.3113]      ,1.4326   ,0.2726   ,5.2563 ,0.0000 ,0.8984  ,1.9668  
C(sector)[T.3114]      ,1.4168   ,0.2727   ,5.1954 ,0.0000 ,0.8823  ,1.9513  
C(sector)[T.3115]      ,1.4090   ,0.2720   ,5.1807 ,0.0000 ,0.8760  ,1.9421  
C(sector)[T.3116]      ,1.4162   ,0.2721   ,5.2050 ,0.0000 ,0.8829  ,1.9495  
C(sector)[T.3117]      ,1.4306   ,0.2720   ,5.2590 ,0.0000 ,0.8974  ,1.9638  
C(sector)[T.3118]      ,1.4507   ,0.2726   ,5.3225 ,0.0000 ,0.9165  ,1.9849  
C(sector)[T.3119]      ,1.4268   ,0.2729   ,5.2276 ,0.0000 ,0.8919  ,1.9618  
C(sector)[T.3121]      ,1.4221   ,0.2737   ,5.1962 ,0.0000 ,0.8857  ,1.9585  
C(sector)[T.3122]      ,1.4014   ,0.2726   ,5.1410 ,0.0000 ,0.8671  ,1.9357  
C(sector)[T.3131]      ,1.4145   ,0.2720   ,5.1994 ,0.0000 ,0.8813  ,1.9477  
C(sector)[T.3132]      ,1.4284   ,0.2718   ,5.2558 ,0.0000 ,0.8958  ,1.9611  
