                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.2404    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4451   
No. Observations:,6624            ,  R-squared (Within):  ,-1.2288   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.5693   
Time:            ,12:56:59        ,  Log-likelihood       ,-3.951e+04
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,2148.4    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,25.282          ,  Distribution:        ,F(18,6334)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,31.000          ,  F-statistic (robust):,1.582e+12 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,33              ,  Distribution:        ,F(18,6334)
Avg Obs:         ,200.73          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,226.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-1511.8  ,671.39   ,-2.2517,0.0244 ,-2827.9 ,-195.63 
L_0_entry_rate_whole          ,-1175.9  ,591.91   ,-1.9867,0.0470 ,-2336.3 ,-15.582 
L_0_log_gdp                   ,-16.497  ,65.622   ,-0.2514,0.8015 ,-145.14 ,112.14  
L_1_entry_rate_whole          ,146.51   ,319.98   ,0.4579 ,0.6470 ,-480.75 ,773.78  
L_1_log_gdp                   ,132.60   ,67.346   ,1.9689 ,0.0490 ,0.5794  ,264.62  
L_2_entry_rate_whole          ,-306.08  ,130.02   ,-2.3541,0.0186 ,-560.97 ,-51.197 
L_2_log_gdp                   ,-11.668  ,41.011   ,-0.2845,0.7760 ,-92.064 ,68.728  
L_3_entry_rate_whole          ,-96.670  ,36.502   ,-2.6484,0.0081 ,-168.23 ,-25.114 
L_3_log_gdp                   ,107.71   ,51.269   ,2.1010 ,0.0357 ,7.2110  ,208.22  
L_4_entry_rate_whole          ,-174.35  ,103.09   ,-1.6914,0.0908 ,-376.44 ,27.728  
L_4_log_gdp                   ,-59.407  ,58.496   ,-1.0156,0.3099 ,-174.08 ,55.264  
L_5_entry_rate_whole          ,506.57   ,77.059   ,6.5738 ,0.0000 ,355.51  ,657.63  
L_5_log_gdp                   ,133.94   ,96.036   ,1.3947 ,0.1632 ,-54.324 ,322.20  
L_6_entry_rate_whole          ,-310.59  ,42.186   ,-7.3625,0.0000 ,-393.29 ,-227.90 
L_6_log_gdp                   ,-72.202  ,107.61   ,-0.6710,0.5023 ,-283.15 ,138.74  
curr_chg_restriction_2_0      ,-15.712  ,39.338   ,-0.3994,0.6896 ,-92.828 ,61.405  
enter_chg_restriction_2_0     ,53.069   ,56.500   ,0.9393 ,0.3476 ,-57.690 ,163.83  
life_chg_restriction_2_0      ,139.61   ,259.45   ,0.5381 ,0.5905 ,-368.99 ,648.22  
pre_cohort_log_restriction_2_0,67.851   ,53.172   ,1.2761 ,0.2020 ,-36.385 ,172.09  

F-test for Poolability: 160.79
P-value: 0.0000
Distribution: F(271,6334)

Included effects: Entity, Time
