                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.0255    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4308   
No. Observations:,2347            ,  R-squared (Within):  ,-0.3353   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.3677   
Time:            ,12:57:02        ,  Log-likelihood       ,-1.997e+04
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,160.38    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,138.06          ,  Distribution:        ,F(20,2283)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,218.00          ,  F-statistic (robust):,17.075    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,33              ,  Distribution:        ,F(20,2283)
Avg Obs:         ,71.121          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,87.000          ,                       ,          
                 ,                ,                       ,          
                                  Parameter Estimates                                   
                              ,Parameter ,Std. Err., T-stat,P-value, Lower CI , Upper CI
const                         ,-1.116e+04,7152.2   ,-1.5606,0.1188 ,-2.519e+04,2863.9   
L_0_entry_rate_whole          ,-5857.5   ,8369.0   ,-0.6999,0.4841 ,-2.227e+04,1.055e+04
L_0_log_gdp                   ,54.421    ,1376.5   ,0.0395 ,0.9685 ,-2645.0   ,2753.8   
L_1_entry_rate_whole          ,874.31    ,9116.4   ,0.0959 ,0.9236 ,-1.7e+04  ,1.875e+04
L_1_log_gdp                   ,211.12    ,1815.4   ,0.1163 ,0.9074 ,-3348.8   ,3771.1   
L_2_entry_rate_whole          ,-1308.0   ,7619.8   ,-0.1717,0.8637 ,-1.625e+04,1.363e+04
L_2_log_gdp                   ,363.88    ,1788.3   ,0.2035 ,0.8388 ,-3143.0   ,3870.8   
L_3_entry_rate_whole          ,1044.2    ,7201.8   ,0.1450 ,0.8847 ,-1.308e+04,1.517e+04
L_3_log_gdp                   ,420.45    ,1810.2   ,0.2323 ,0.8164 ,-3129.4   ,3970.3   
L_4_entry_rate_whole          ,-634.84   ,7599.1   ,-0.0835,0.9334 ,-1.554e+04,1.427e+04
L_4_log_gdp                   ,-386.96   ,1714.7   ,-0.2257,0.8215 ,-3749.4   ,2975.5   
L_5_entry_rate_whole          ,6357.7    ,7654.9   ,0.8305 ,0.4063 ,-8653.7   ,2.137e+04
L_5_log_gdp                   ,95.634    ,1700.9   ,0.0562 ,0.9552 ,-3239.8   ,3431.1   
L_6_entry_rate_whole          ,-2727.5   ,5878.8   ,-0.4640,0.6427 ,-1.426e+04,8800.8   
L_6_log_gdp                   ,550.31    ,1227.0   ,0.4485 ,0.6538 ,-1855.9   ,2956.5   
cross                         ,-37.016   ,42.887   ,-0.8631,0.3882 ,-121.12   ,47.086   
curr_chg_restriction_2_0      ,-81.260   ,1053.4   ,-0.0771,0.9385 ,-2146.9   ,1984.4   
enter_chg_restriction_2_0     ,271.72    ,951.58   ,0.2856 ,0.7752 ,-1594.3   ,2137.8   
large_firm                    ,-708.07   ,452.16   ,-1.5660,0.1175 ,-1594.8   ,178.62   
life_chg_restriction_2_0      ,-42.349   ,2209.4   ,-0.0192,0.9847 ,-4375.0   ,4290.3   
pre_cohort_log_restriction_2_0,480.47    ,465.62   ,1.0319 ,0.3022 ,-432.61   ,1393.6   

F-test for Poolability: 21.872
P-value: 0.0000
Distribution: F(43,2283)

Included effects: Entity, Time
