                     PanelOLS Estimation Summary                      
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.1868     
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0091     
No. Observations:,20690           ,  R-squared (Within):  ,-0.1337    
Date:            ,Tue, Jul 05 2022,  R-squared (Overall): ,-0.0149    
Time:            ,16:27:26        ,  Log-likelihood       ,-1.264e+05 
Cov. Estimator:  ,Clustered       ,                       ,           
                 ,                ,  F-statistic:         ,361.77     
Entities:        ,262             ,  P-value              ,0.0000     
Avg Obs:         ,78.969          ,  Distribution:        ,F(13,20477)
Min Obs:         ,0.0000          ,                       ,           
Max Obs:         ,137.00          ,  F-statistic (robust):,1132.4     
                 ,                ,  P-value              ,0.0000     
Time periods:    ,36              ,  Distribution:        ,F(13,20477)
Avg Obs:         ,574.72          ,                       ,           
Min Obs:         ,148.00          ,                       ,           
Max Obs:         ,618.00          ,                       ,           
                 ,                ,                       ,           
                               Parameter Estimates                               
                           ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(age_grp_dummy)[T.2.0]    ,-906.66  ,628.68   ,-1.4422,0.1493 ,-2138.9 ,325.60  
C(age_grp_dummy)[T.3.0]    ,-955.54  ,635.19   ,-1.5043,0.1325 ,-2200.6 ,289.48  
C(age_grp_dummy)[T.4.0]    ,-981.92  ,638.68   ,-1.5374,0.1242 ,-2233.8 ,269.94  
C(age_grp_dummy)[T.5.0]    ,-995.43  ,640.15   ,-1.5550,0.1200 ,-2250.2 ,259.31  
L_0_entry_rate_whole       ,-331.44  ,131.88   ,-2.5132,0.0120 ,-589.94 ,-72.944 
L_0_log_gdp                ,-47.412  ,56.409   ,-0.8405,0.4006 ,-157.98 ,63.155  
L_0_log_restriction_2_0    ,-9.6831  ,31.735   ,-0.3051,0.7603 ,-71.886 ,52.520  
cohort_entry_rate_whole    ,48.503   ,102.40   ,0.4737 ,0.6357 ,-152.21 ,249.21  
cohort_log_gdp             ,113.41   ,40.085   ,2.8291 ,0.0047 ,34.836  ,191.97  
cohort_log_restriction_2_0 ,24.506   ,13.410   ,1.8274 ,0.0676 ,-1.7788 ,50.792  
inc_avg_entry_rate_whole   ,-132.94  ,131.16   ,-1.0136,0.3108 ,-390.03 ,124.14  
inc_avg_log_gdp            ,28.201   ,29.650   ,0.9511 ,0.3415 ,-29.915 ,86.317  
inc_avg_log_restriction_2_0,24.636   ,20.640   ,1.1936 ,0.2326 ,-15.820 ,65.093  
log_emp_cohort             ,25.641   ,9.7946   ,2.6179 ,0.0089 ,6.4431  ,44.840  

F-test for Poolability: 248.02
P-value: 0.0000
Distribution: F(199,20477)

Included effects: Entity, Time
