                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.0325    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.3771   
No. Observations:,2614            ,  R-squared (Within):  ,-0.6433   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.5394   
Time:            ,12:56:53        ,  Log-likelihood       ,-2.414e+04
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,389.07    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,153.76          ,  Distribution:        ,F(12,2553)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,228.00          ,  F-statistic (robust):,30.626    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,36              ,  Distribution:        ,F(12,2553)
Avg Obs:         ,72.611          ,                       ,          
Min Obs:         ,64.000          ,                       ,          
Max Obs:         ,82.000          ,                       ,          
                 ,                ,                       ,          
                                  Parameter Estimates                                   
                              ,Parameter ,Std. Err., T-stat,P-value, Lower CI , Upper CI
const                         ,-2.607e+04,1.146e+04,-2.2762,0.0229 ,-4.854e+04,-3612.3  
L_0_entry_rate_whole          ,-9393.2   ,1.199e+04,-0.7835,0.4334 ,-3.29e+04 ,1.411e+04
L_0_log_gdp                   ,641.59    ,2429.9   ,0.2640 ,0.7918 ,-4123.1   ,5406.3   
L_1_entry_rate_whole          ,-2315.4   ,1.652e+04,-0.1401,0.8886 ,-3.472e+04,3.009e+04
L_1_log_gdp                   ,636.53    ,3091.4   ,0.2059 ,0.8369 ,-5425.4   ,6698.4   
L_2_entry_rate_whole          ,1.189e+04 ,1.688e+04,0.7044 ,0.4813 ,-2.121e+04,4.498e+04
L_2_log_gdp                   ,1264.1    ,3124.0   ,0.4046 ,0.6858 ,-4861.7   ,7389.8   
L_3_entry_rate_whole          ,-3518.6   ,1.194e+04,-0.2947,0.7682 ,-2.693e+04,1.989e+04
L_3_log_gdp                   ,459.39    ,2306.5   ,0.1992 ,0.8421 ,-4063.3   ,4982.1   
cross                         ,-2.8605   ,94.798   ,-0.0302,0.9759 ,-188.75   ,183.03   
full_chg_restriction_2_0      ,163.63    ,2389.4   ,0.0685 ,0.9454 ,-4521.7   ,4849.0   
large_firm                    ,-2730.4   ,1041.0   ,-2.6228,0.0088 ,-4771.8   ,-689.04  
pre_cohort_log_restriction_2_0,1096.0    ,770.24   ,1.4229 ,0.1549 ,-414.35   ,2606.4   

F-test for Poolability: 29.324
P-value: 0.0000
Distribution: F(48,2553)

Included effects: Entity, Time
