                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.2169    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.3641   
No. Observations:,7194            ,  R-squared (Within):  ,-1.3417   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.5131   
Time:            ,12:56:49        ,  Log-likelihood       ,-4.414e+04
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,3020.2    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,27.458          ,  Distribution:        ,F(14,6905)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,33.000          ,  F-statistic (robust):,3.373e+13 
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(14,6905)
Avg Obs:         ,211.59          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,225.00          ,                       ,          
                 ,                ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-1997.8  ,760.89   ,-2.6256,0.0087 ,-3489.4 ,-506.24 
L_0_entry_rate_whole          ,-921.71  ,237.36   ,-3.8831,0.0001 ,-1387.0 ,-456.41 
L_0_log_gdp                   ,-15.025  ,96.735   ,-0.1553,0.8766 ,-204.66 ,174.61  
L_1_entry_rate_whole          ,-345.52  ,102.35   ,-3.3757,0.0007 ,-546.16 ,-144.87 
L_1_log_gdp                   ,15.305   ,88.388   ,0.1732 ,0.8625 ,-157.96 ,188.57  
L_2_entry_rate_whole          ,-127.85  ,87.171   ,-1.4667,0.1425 ,-298.74 ,43.028  
L_2_log_gdp                   ,181.95   ,64.475   ,2.8219 ,0.0048 ,55.554  ,308.34  
L_3_entry_rate_whole          ,-62.130  ,36.290   ,-1.7120,0.0869 ,-133.27 ,9.0100  
L_3_log_gdp                   ,91.250   ,77.616   ,1.1757 ,0.2398 ,-60.902 ,243.40  
L_4_entry_rate_whole          ,285.00   ,173.67   ,1.6410 ,0.1008 ,-55.449 ,625.45  
L_4_log_gdp                   ,21.715   ,87.083   ,0.2494 ,0.8031 ,-149.00 ,192.43  
L_5_entry_rate_whole          ,-127.55  ,114.28   ,-1.1161,0.2644 ,-351.58 ,96.476  
L_5_log_gdp                   ,-56.526  ,105.98   ,-0.5334,0.5938 ,-264.28 ,151.23  
full_chg_restriction_2_0      ,156.78   ,248.98   ,0.6297 ,0.5289 ,-331.29 ,644.85  
pre_cohort_log_restriction_2_0,104.38   ,62.933   ,1.6585 ,0.0973 ,-18.991 ,227.74  

F-test for Poolability: 175.59
P-value: 0.0000
Distribution: F(274,6905)

Included effects: Entity, Time
