                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.0520    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.3855    
No. Observations:,2755            ,  R-squared (Within):  ,0.0465    
Date:            ,Wed, Jul 13 2022,  R-squared (Overall): ,0.0771    
Time:            ,10:12:46        ,  Log-likelihood       ,-2.381e+04
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,12.295    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,162.06          ,  Distribution:        ,F(12,2692)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,239.00          ,  F-statistic (robust):,22.457    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,40              ,  Distribution:        ,F(12,2692)
Avg Obs:         ,68.875          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,82.000          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-3393.8  ,2467.0   ,-1.3757,0.1690 ,-8231.1 ,1443.6  
L_0_entry_rate_whole   ,-3098.6  ,2111.9   ,-1.4672,0.1424 ,-7239.7 ,1042.6  
L_0_log_gdp            ,-115.72  ,261.51   ,-0.4425,0.6582 ,-628.51 ,397.07  
L_0_log_restriction_2_0,142.53   ,452.67   ,0.3149 ,0.7529 ,-745.09 ,1030.1  
L_1_entry_rate_whole   ,-699.09  ,2323.4   ,-0.3009,0.7635 ,-5254.8 ,3856.7  
L_1_log_gdp            ,46.554   ,330.54   ,0.1408 ,0.8880 ,-601.59 ,694.69  
L_1_log_restriction_2_0,-50.398  ,643.81   ,-0.0783,0.9376 ,-1312.8 ,1212.0  
L_2_entry_rate_whole   ,1328.1   ,1812.4   ,0.7328 ,0.4638 ,-2225.8 ,4882.1  
L_2_log_gdp            ,110.38   ,277.87   ,0.3972 ,0.6912 ,-434.49 ,655.25  
L_2_log_restriction_2_0,-7.6800  ,437.04   ,-0.0176,0.9860 ,-864.65 ,849.29  
cross                  ,-101.84  ,37.125   ,-2.7431,0.0061 ,-174.63 ,-29.041 
large_firm             ,822.87   ,413.13   ,1.9918 ,0.0465 ,12.783  ,1632.9  
log_emp_cohort         ,336.96   ,49.843   ,6.7604 ,0.0000 ,239.22  ,434.69  

F-test for Poolability: 3.0876
P-value: 0.0000
Distribution: F(50,2692)

Included effects: Entity, Time
