                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.1007    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,0.0216    
No. Observations:,5329            ,  R-squared (Within):  ,-0.4740   
Date:            ,Tue, Jul 05 2022,  R-squared (Overall): ,-0.0362   
Time:            ,16:27:22        ,  Log-likelihood       ,-3.121e+04
Cov. Estimator:  ,Clustered       ,                       ,          
                 ,                ,  F-statistic:         ,44.081    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,20.340          ,  Distribution:        ,F(13,5117)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,35.000          ,  F-statistic (robust):,2182.1    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,35              ,  Distribution:        ,F(13,5117)
Avg Obs:         ,152.26          ,                       ,          
Min Obs:         ,147.00          ,                       ,          
Max Obs:         ,158.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-1101.7  ,713.55   ,-1.5439,0.1227 ,-2500.5 ,297.21  
L_0_entry_rate_whole   ,-356.52  ,145.22   ,-2.4550,0.0141 ,-641.22 ,-71.822 
L_0_log_gdp            ,-10.942  ,36.235   ,-0.3020,0.7627 ,-81.978 ,60.093  
L_0_log_restriction_2_0,-4.8233  ,38.558   ,-0.1251,0.9005 ,-80.413 ,70.767  
L_1_entry_rate_whole   ,-88.505  ,91.458   ,-0.9677,0.3332 ,-267.80 ,90.792  
L_1_log_gdp            ,-5.9235  ,32.870   ,-0.1802,0.8570 ,-70.364 ,58.517  
L_1_log_restriction_2_0,-12.851  ,12.436   ,-1.0333,0.3015 ,-37.231 ,11.530  
L_2_entry_rate_whole   ,-7.9396  ,31.400   ,-0.2529,0.8004 ,-69.497 ,53.618  
L_2_log_gdp            ,65.010   ,23.819   ,2.7293 ,0.0064 ,18.314  ,111.71  
L_2_log_restriction_2_0,22.426   ,19.444   ,1.1533 ,0.2488 ,-15.694 ,60.545  
L_3_entry_rate_whole   ,68.309   ,105.33   ,0.6485 ,0.5167 ,-138.18 ,274.80  
L_3_log_gdp            ,44.230   ,38.603   ,1.1458 ,0.2519 ,-31.448 ,119.91  
L_3_log_restriction_2_0,47.778   ,30.643   ,1.5592 ,0.1190 ,-12.296 ,107.85  
log_emp_cohort         ,26.907   ,10.967   ,2.4534 ,0.0142 ,5.4068  ,48.408  

F-test for Poolability: 111.35
P-value: 0.0000
Distribution: F(198,5117)

Included effects: Entity, Time
