                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.0272    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4021   
No. Observations:,2461            ,  R-squared (Within):  ,-0.3820   
Date:            ,Thu, Jul 21 2022,  R-squared (Overall): ,-0.3890   
Time:            ,12:56:54        ,  Log-likelihood       ,-2.138e+04
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,178.05    
Entities:        ,17              ,  P-value              ,0.0000    
Avg Obs:         ,144.76          ,  Distribution:        ,F(20,2395)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,220.00          ,  F-statistic (robust):,17.877    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,34              ,  Distribution:        ,F(20,2395)
Avg Obs:         ,72.382          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,82.000          ,                       ,          
                 ,                ,                       ,          
                                  Parameter Estimates                                   
                              ,Parameter ,Std. Err., T-stat,P-value, Lower CI , Upper CI
const                         ,-1.376e+04,7644.1   ,-1.8005,0.0719 ,-2.875e+04,1226.9   
L_0_chg_restriction_2_0       ,-58.532   ,1211.9   ,-0.0483,0.9615 ,-2435.0   ,2317.9   
L_0_entry_rate_whole          ,-5274.3   ,7492.9   ,-0.7039,0.4816 ,-1.997e+04,9418.9   
L_0_log_gdp                   ,-143.91   ,1543.2   ,-0.0933,0.9257 ,-3170.1   ,2882.3   
L_1_chg_restriction_2_0       ,15.228    ,1136.2   ,0.0134 ,0.9893 ,-2212.9   ,2243.3   
L_1_entry_rate_whole          ,-364.93   ,9222.8   ,-0.0396,0.9684 ,-1.845e+04,1.772e+04
L_1_log_gdp                   ,282.26    ,2002.9   ,0.1409 ,0.8879 ,-3645.4   ,4209.9   
L_2_chg_restriction_2_0       ,-138.16   ,1085.4   ,-0.1273,0.8987 ,-2266.5   ,1990.2   
L_2_entry_rate_whole          ,-263.92   ,8533.2   ,-0.0309,0.9753 ,-1.7e+04  ,1.647e+04
L_2_log_gdp                   ,589.89    ,2031.4   ,0.2904 ,0.7715 ,-3393.6   ,4573.4   
L_3_chg_restriction_2_0       ,62.233    ,1128.6   ,0.0551 ,0.9560 ,-2150.9   ,2275.3   
L_3_entry_rate_whole          ,-34.002   ,8208.3   ,-0.0041,0.9967 ,-1.613e+04,1.606e+04
L_3_log_gdp                   ,531.27    ,1959.6   ,0.2711 ,0.7863 ,-3311.5   ,4374.0   
L_4_chg_restriction_2_0       ,230.35    ,1151.4   ,0.2001 ,0.8414 ,-2027.4   ,2488.1   
L_4_entry_rate_whole          ,5899.3    ,8097.8   ,0.7285 ,0.4664 ,-9980.1   ,2.178e+04
L_4_log_gdp                   ,-138.55   ,1891.3   ,-0.0733,0.9416 ,-3847.2   ,3570.1   
L_5_entry_rate_whole          ,-2075.3   ,6663.9   ,-0.3114,0.7555 ,-1.514e+04,1.099e+04
L_5_log_gdp                   ,410.95    ,1436.3   ,0.2861 ,0.7748 ,-2405.5   ,3227.4   
cross                         ,-28.956   ,53.170   ,-0.5446,0.5861 ,-133.22   ,75.307   
large_firm                    ,-1045.9   ,564.50   ,-1.8528,0.0640 ,-2152.8   ,61.075   
pre_cohort_log_restriction_2_0,628.42    ,498.00   ,1.2619 ,0.2071 ,-348.13   ,1605.0   

F-test for Poolability: 23.236
P-value: 0.0000
Distribution: F(45,2395)

Included effects: Entity, Time
