                     PanelOLS Estimation Summary                     
Dep. Variable:   ,estabs_exit     ,  R-squared:           ,0.2415    
Estimator:       ,PanelOLS        ,  R-squared (Between): ,-0.4467   
No. Observations:,6624            ,  R-squared (Within):  ,-1.2514   
Date:            ,Tue, Jul 19 2022,  R-squared (Overall): ,-0.5742   
Time:            ,12:28:10        ,  Log-likelihood       ,-3.951e+04
Cov. Estimator:  ,Robust          ,                       ,          
                 ,                ,  F-statistic:         ,1843.5    
Entities:        ,262             ,  P-value              ,0.0000    
Avg Obs:         ,25.282          ,  Distribution:        ,F(21,6331)
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,31.000          ,  F-statistic (robust):,13.050    
                 ,                ,  P-value              ,0.0000    
Time periods:    ,33              ,  Distribution:        ,F(21,6331)
Avg Obs:         ,200.73          ,                       ,          
Min Obs:         ,0.0000          ,                       ,          
Max Obs:         ,226.00          ,                       ,          
                 ,                ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-1554.2  ,312.79   ,-4.9687,0.0000 ,-2167.4 ,-941.01 
L_0_chg_restriction_2_0,-15.214  ,56.966   ,-0.2671,0.7894 ,-126.89 ,96.458  
L_0_entry_rate_whole   ,-1184.0  ,275.07   ,-4.3045,0.0000 ,-1723.3 ,-644.81 
L_0_log_gdp            ,-28.435  ,76.657   ,-0.3709,0.7107 ,-178.71 ,121.84  
L_1_chg_restriction_2_0,-8.7653  ,52.397   ,-0.1673,0.8671 ,-111.48 ,93.950  
L_1_entry_rate_whole   ,157.02   ,284.47   ,0.5520 ,0.5810 ,-400.63 ,714.68  
L_1_log_gdp            ,149.56   ,106.28   ,1.4072 ,0.1594 ,-58.786 ,357.90  
L_2_chg_restriction_2_0,49.361   ,48.225   ,1.0235 ,0.3061 ,-45.177 ,143.90  
L_2_entry_rate_whole   ,-310.41  ,207.14   ,-1.4986,0.1340 ,-716.47 ,95.648  
L_2_log_gdp            ,-14.482  ,104.15   ,-0.1391,0.8894 ,-218.66 ,189.69  
L_3_chg_restriction_2_0,17.016   ,56.834   ,0.2994 ,0.7646 ,-94.398 ,128.43  
L_3_entry_rate_whole   ,-103.28  ,190.50   ,-0.5421,0.5877 ,-476.73 ,270.17  
L_3_log_gdp            ,102.42   ,107.72   ,0.9508 ,0.3418 ,-108.75 ,313.58  
L_4_chg_restriction_2_0,84.881   ,54.745   ,1.5505 ,0.1211 ,-22.437 ,192.20  
L_4_entry_rate_whole   ,-164.74  ,245.08   ,-0.6722,0.5015 ,-645.18 ,315.70  
L_4_log_gdp            ,-49.674  ,109.31   ,-0.4544,0.6495 ,-263.96 ,164.61  
L_5_chg_restriction_2_0,55.743   ,53.056   ,1.0507 ,0.2935 ,-48.264 ,159.75  
L_5_entry_rate_whole   ,495.31   ,426.85   ,1.1604 ,0.2459 ,-341.46 ,1332.1  
L_5_log_gdp            ,125.77   ,108.55   ,1.1587 ,0.2466 ,-87.020 ,338.57  
L_6_entry_rate_whole   ,-304.04  ,283.52   ,-1.0724,0.2836 ,-859.83 ,251.75  
L_6_log_gdp            ,-69.606  ,75.285   ,-0.9246,0.3552 ,-217.19 ,77.978  
L_6_log_restriction_2_0,71.332   ,23.758   ,3.0025 ,0.0027 ,24.759  ,117.91  

F-test for Poolability: 160.89
P-value: 0.0000
Distribution: F(271,6331)

Included effects: Entity, Time
