                         PanelOLS Estimation Summary                         
Dep. Variable:   ,job_creation_continuers,  R-squared:           ,0.4475     
Estimator:       ,PanelOLS               ,  R-squared (Between): ,0.5392     
No. Observations:,15052                  ,  R-squared (Within):  ,0.3524     
Date:            ,Tue, Jul 05 2022       ,  R-squared (Overall): ,0.4162     
Time:            ,16:07:36               ,  Log-likelihood       ,-1.399e+05 
Cov. Estimator:  ,Robust                 ,                       ,           
                 ,                       ,  F-statistic:         ,933.74     
Entities:        ,17                     ,  P-value              ,0.0000     
Avg Obs:         ,885.41                 ,  Distribution:        ,F(13,14989)
Min Obs:         ,0.0000                 ,                       ,           
Max Obs:         ,1329.0                 ,  F-statistic (robust):,475.40     
                 ,                       ,  P-value              ,0.0000     
Time periods:    ,37                     ,  Distribution:        ,F(13,14989)
Avg Obs:         ,406.81                 ,                       ,           
Min Obs:         ,76.000                 ,                       ,           
Max Obs:         ,479.00                 ,                       ,           
                 ,                       ,                       ,           
                                     Parameter Estimates                                     
                                  ,Parameter ,Std. Err., T-stat,P-value, Lower CI , Upper CI 
C(age_grp_dummy)[T.1.0]           ,-2.08e+04 ,2294.8   ,-9.0621,0.0000 ,-2.529e+04,-1.63e+04 
C(age_grp_dummy)[T.2.0]           ,-2.244e+04,2300.9   ,-9.7542,0.0000 ,-2.695e+04,-1.793e+04
C(age_grp_dummy)[T.3.0]           ,-2.293e+04,2300.6   ,-9.9666,0.0000 ,-2.744e+04,-1.842e+04
C(age_grp_dummy)[T.4.0]           ,-2.32e+04 ,2299.3   ,-10.090,0.0000 ,-2.771e+04,-1.869e+04
C(age_grp_dummy)[T.5.0]           ,-2.334e+04,2298.6   ,-10.156,0.0000 ,-2.785e+04,-1.884e+04
L_0_entry_rate_whole              ,-6165.5   ,2070.6   ,-2.9776,0.0029 ,-1.022e+04,-2106.8   
L_0_log_gdp                       ,705.91    ,238.85   ,2.9554 ,0.0031 ,237.73    ,1174.1    
L_0_log_restriction_2_0           ,323.23    ,300.76   ,1.0747 ,0.2825 ,-266.29   ,912.75    
avg_entry_rate_whole              ,1149.9    ,2087.7   ,0.5508 ,0.5818 ,-2942.2   ,5242.1    
avg_log_gdp                       ,782.58    ,217.16   ,3.6037 ,0.0003 ,356.92    ,1208.2    
avg_log_restriction_2_0           ,-187.46   ,334.06   ,-0.5611,0.5747 ,-842.25   ,467.34    
large_firm                        ,1211.8    ,550.98   ,2.1994 ,0.0279 ,131.82    ,2291.8    
log_emp_cohort                    ,1861.5    ,53.589   ,34.737 ,0.0000 ,1756.5    ,1966.6    
avg_log_restriction_2_0:large_firm,-272.33   ,50.082   ,-5.4376,0.0000 ,-370.49   ,-174.16   

F-test for Poolability: 87.777
P-value: 0.0000
Distribution: F(49,14989)

Included effects: Entity, Time
