                     PanelOLS Estimation Summary                      
Dep. Variable:   ,job_creation_rate,  R-squared:           ,0.0738    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-0.3867   
No. Observations:,3145             ,  R-squared (Within):  ,0.0003    
Date:            ,Wed, Aug 10 2022 ,  R-squared (Overall): ,-0.1074   
Time:            ,16:24:15         ,  Log-likelihood       ,8368.4    
Cov. Estimator:  ,Robust           ,                       ,          
                 ,                 ,  F-statistic:         ,1.47e+04  
Entities:        ,17               ,  P-value              ,0.0000    
Avg Obs:         ,185.00           ,  Distribution:        ,F(16,3079)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,278.00           ,  F-statistic (robust):,9.5942    
                 ,                 ,  P-value              ,0.0000    
Time periods:    ,38               ,  Distribution:        ,F(16,3079)
Avg Obs:         ,82.763           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,98.000           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.1242   ,0.0433   ,2.8714 ,0.0041 ,0.0394  ,0.2090  
L_0_entry_rate_whole          ,0.5217   ,0.0887   ,5.8812 ,0.0000 ,0.3478  ,0.6956  
L_0_log_gdp                   ,0.0737   ,0.0128   ,5.7366 ,0.0000 ,0.0485  ,0.0988  
L_1_entry_rate_whole          ,-0.2607  ,0.0927   ,-2.8120,0.0050 ,-0.4424 ,-0.0789 
L_1_log_gdp                   ,-0.0136  ,0.0185   ,-0.7380,0.4605 ,-0.0499 ,0.0226  
L_2_entry_rate_whole          ,-0.0906  ,0.0783   ,-1.1575,0.2471 ,-0.2440 ,0.0629  
L_2_log_gdp                   ,-0.0821  ,0.0203   ,-4.0454,0.0001 ,-0.1218 ,-0.0423 
L_3_entry_rate_whole          ,0.0105   ,0.0748   ,0.1408 ,0.8880 ,-0.1360 ,0.1571  
L_3_log_gdp                   ,0.0009   ,0.0196   ,0.0472 ,0.9623 ,-0.0375 ,0.0393  
L_4_entry_rate_whole          ,-0.0292  ,0.0596   ,-0.4897,0.6244 ,-0.1461 ,0.0877  
L_4_log_gdp                   ,0.0327   ,0.0137   ,2.3902 ,0.0169 ,0.0059  ,0.0595  
cross                         ,0.0136   ,0.0064   ,2.1148 ,0.0345 ,0.0010  ,0.0261  
curr_chg_restriction_2_0      ,-0.0047  ,0.0080   ,-0.5923,0.5537 ,-0.0205 ,0.0110  
enter_chg_restriction_2_0     ,0.0010   ,0.0081   ,0.1200 ,0.9045 ,-0.0150 ,0.0169  
large_firm                    ,-0.1266  ,0.0694   ,-1.8246,0.0682 ,-0.2626 ,0.0094  
life_chg_restriction_2_0      ,-0.0104  ,0.0111   ,-0.9376,0.3485 ,-0.0322 ,0.0114  
pre_cohort_log_restriction_2_0,-0.0025  ,0.0037   ,-0.6838,0.4942 ,-0.0098 ,0.0047  

F-test for Poolability: 31.782
P-value: 0.0000
Distribution: F(49,3079)

Included effects: Entity, Time
