                     PanelOLS Estimation Summary                      
Dep. Variable:   ,job_creation_rate,  R-squared:           ,0.0824    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,-0.3006   
No. Observations:,2916             ,  R-squared (Within):  ,-0.0916   
Date:            ,Wed, Aug 10 2022 ,  R-squared (Overall): ,-0.1496   
Time:            ,16:24:15         ,  Log-likelihood       ,7882.2    
Cov. Estimator:  ,Robust           ,                       ,          
                 ,                 ,  F-statistic:         ,8906.8    
Entities:        ,17               ,  P-value              ,0.0000    
Avg Obs:         ,171.53           ,  Distribution:        ,F(20,2850)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,261.00           ,  F-statistic (robust):,9.6709    
                 ,                 ,  P-value              ,0.0000    
Time periods:    ,38               ,  Distribution:        ,F(20,2850)
Avg Obs:         ,76.737           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,97.000           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.0731   ,0.0541   ,1.3521 ,0.1765 ,-0.0329 ,0.1791  
L_0_entry_rate_whole          ,0.5742   ,0.0945   ,6.0759 ,0.0000 ,0.3889  ,0.7595  
L_0_log_gdp                   ,0.0613   ,0.0119   ,5.1581 ,0.0000 ,0.0380  ,0.0846  
L_1_entry_rate_whole          ,-0.2177  ,0.1249   ,-1.7430,0.0814 ,-0.4626 ,0.0272  
L_1_log_gdp                   ,-0.0078  ,0.0162   ,-0.4807,0.6308 ,-0.0397 ,0.0240  
L_2_entry_rate_whole          ,-0.1371  ,0.1216   ,-1.1269,0.2599 ,-0.3756 ,0.1014  
L_2_log_gdp                   ,-0.0571  ,0.0175   ,-3.2589,0.0011 ,-0.0915 ,-0.0228 
L_3_entry_rate_whole          ,-0.1636  ,0.1078   ,-1.5173,0.1293 ,-0.3750 ,0.0478  
L_3_log_gdp                   ,-0.0400  ,0.0179   ,-2.2335,0.0256 ,-0.0751 ,-0.0049 
L_4_entry_rate_whole          ,0.2105   ,0.0986   ,2.1352 ,0.0328 ,0.0172  ,0.4039  
L_4_log_gdp                   ,0.0333   ,0.0178   ,1.8665 ,0.0621 ,-0.0017 ,0.0682  
L_5_entry_rate_whole          ,-0.1895  ,0.0895   ,-2.1175,0.0343 ,-0.3649 ,-0.0140 
L_5_log_gdp                   ,-0.0088  ,0.0159   ,-0.5567,0.5778 ,-0.0399 ,0.0223  
L_6_entry_rate_whole          ,-0.0541  ,0.0665   ,-0.8140,0.4157 ,-0.1846 ,0.0763  
L_6_log_gdp                   ,0.0254   ,0.0116   ,2.1864 ,0.0289 ,0.0026  ,0.0482  
cross                         ,-0.0053  ,0.0077   ,-0.6944,0.4875 ,-0.0205 ,0.0098  
curr_chg_restriction_2_0      ,-0.0054  ,0.0082   ,-0.6620,0.5080 ,-0.0216 ,0.0107  
enter_chg_restriction_2_0     ,0.0071   ,0.0083   ,0.8649 ,0.3871 ,-0.0091 ,0.0234  
large_firm                    ,0.0902   ,0.0839   ,1.0757 ,0.2821 ,-0.0742 ,0.2547  
life_chg_restriction_2_0      ,0.0030   ,0.0193   ,0.1578 ,0.8746 ,-0.0348 ,0.0409  
pre_cohort_log_restriction_2_0,0.0047   ,0.0040   ,1.1796 ,0.2382 ,-0.0031 ,0.0125  

F-test for Poolability: 20.275
P-value: 0.0000
Distribution: F(45,2850)

Included effects: Entity, Time
