                     PanelOLS Estimation Summary                      
Dep. Variable:   ,job_creation_rate,  R-squared:           ,0.0414    
Estimator:       ,PanelOLS         ,  R-squared (Between): ,0.2432    
No. Observations:,8765             ,  R-squared (Within):  ,0.1006    
Date:            ,Wed, Aug 10 2022 ,  R-squared (Overall): ,0.1438    
Time:            ,16:24:04         ,  Log-likelihood       ,1.546e+04 
Cov. Estimator:  ,Clustered        ,                       ,          
                 ,                 ,  F-statistic:         ,7800.1    
Entities:        ,262              ,  P-value              ,0.0000    
Avg Obs:         ,33.454           ,  Distribution:        ,F(12,8474)
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,37.000           ,  F-statistic (robust):,236.06    
                 ,                 ,  P-value              ,0.0000    
Time periods:    ,38               ,  Distribution:        ,F(12,8474)
Avg Obs:         ,230.66           ,                       ,          
Min Obs:         ,0.0000           ,                       ,          
Max Obs:         ,239.00           ,                       ,          
                 ,                 ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.1216   ,0.0755   ,1.6105 ,0.1073 ,-0.0264 ,0.2695  
L_0_entry_rate_whole          ,0.4460   ,0.1106   ,4.0327 ,0.0001 ,0.2292  ,0.6627  
L_0_log_gdp                   ,0.1147   ,0.0278   ,4.1338 ,0.0000 ,0.0603  ,0.1691  
L_1_entry_rate_whole          ,-0.2090  ,0.1053   ,-1.9844,0.0472 ,-0.4155 ,-0.0025 
L_1_log_gdp                   ,-0.0065  ,0.0239   ,-0.2735,0.7844 ,-0.0534 ,0.0403  
L_2_entry_rate_whole          ,0.0149   ,0.0725   ,0.2051 ,0.8375 ,-0.1273 ,0.1571  
L_2_log_gdp                   ,-0.1050  ,0.0318   ,-3.3008,0.0010 ,-0.1674 ,-0.0426 
L_3_entry_rate_whole          ,-0.1389  ,0.0651   ,-2.1327,0.0330 ,-0.2666 ,-0.0112 
L_3_log_gdp                   ,-0.0277  ,0.0271   ,-1.0218,0.3069 ,-0.0810 ,0.0255  
L_4_entry_rate_whole          ,0.0622   ,0.0696   ,0.8946 ,0.3710 ,-0.0741 ,0.1986  
L_4_log_gdp                   ,0.0278   ,0.0239   ,1.1621 ,0.2452 ,-0.0191 ,0.0746  
full_chg_restriction_2_0      ,-0.0259  ,0.0155   ,-1.6700,0.0949 ,-0.0564 ,0.0045  
pre_cohort_log_restriction_2_0,0.0025   ,0.0081   ,0.3095 ,0.7570 ,-0.0133 ,0.0183  

F-test for Poolability: 11.861
P-value: 0.0000
Distribution: F(278,8474)

Included effects: Entity, Time
