                       PanelOLS Estimation Summary                       
Dep. Variable:   ,job_destruction_rate,  R-squared:           ,0.0385    
Estimator:       ,PanelOLS            ,  R-squared (Between): ,-0.0926   
No. Observations:,8765                ,  R-squared (Within):  ,0.0143    
Date:            ,Wed, Aug 10 2022    ,  R-squared (Overall): ,-0.0198   
Time:            ,16:24:32            ,  Log-likelihood       ,1.353e+04 
Cov. Estimator:  ,Clustered           ,                       ,          
                 ,                    ,  F-statistic:         ,5619.8    
Entities:        ,262                 ,  P-value              ,0.0000    
Avg Obs:         ,33.454              ,  Distribution:        ,F(14,8472)
Min Obs:         ,0.0000              ,                       ,          
Max Obs:         ,37.000              ,  F-statistic (robust):,1.266e+14 
                 ,                    ,  P-value              ,0.0000    
Time periods:    ,38                  ,  Distribution:        ,F(14,8472)
Avg Obs:         ,230.66              ,                       ,          
Min Obs:         ,0.0000              ,                       ,          
Max Obs:         ,239.00              ,                       ,          
                 ,                    ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,-0.0350  ,0.1121   ,-0.3122,0.7549 ,-0.2548 ,0.1848  
L_0_entry_rate_whole          ,-0.1668  ,0.0837   ,-1.9922,0.0464 ,-0.3309 ,-0.0027 
L_0_log_gdp                   ,-0.1687  ,0.0377   ,-4.4704,0.0000 ,-0.2427 ,-0.0948 
L_1_entry_rate_whole          ,-0.0411  ,0.0644   ,-0.6371,0.5240 ,-0.1674 ,0.0852  
L_1_log_gdp                   ,-0.0409  ,0.0310   ,-1.3174,0.1878 ,-0.1018 ,0.0200  
L_2_entry_rate_whole          ,0.0939   ,0.0305   ,3.0751 ,0.0021 ,0.0341  ,0.1538  
L_2_log_gdp                   ,0.1651   ,0.0429   ,3.8456 ,0.0001 ,0.0809  ,0.2492  
L_3_entry_rate_whole          ,0.1942   ,0.1017   ,1.9092 ,0.0563 ,-0.0052 ,0.3936  
L_3_log_gdp                   ,0.0081   ,0.0327   ,0.2485 ,0.8037 ,-0.0560 ,0.0723  
L_4_entry_rate_whole          ,-0.0053  ,0.0771   ,-0.0686,0.9453 ,-0.1564 ,0.1458  
L_4_log_gdp                   ,0.0228   ,0.0259   ,0.8791 ,0.3794 ,-0.0280 ,0.0735  
curr_chg_restriction_2_0      ,0.0004   ,0.0225   ,0.0192 ,0.9847 ,-0.0436 ,0.0445  
enter_chg_restriction_2_0     ,0.0001   ,0.0079   ,0.0153 ,0.9878 ,-0.0154 ,0.0156  
life_chg_restriction_2_0      ,-0.0158  ,0.0147   ,-1.0737,0.2830 ,-0.0445 ,0.0130  
pre_cohort_log_restriction_2_0,0.0339   ,0.0106   ,3.2061 ,0.0014 ,0.0132  ,0.0546  

F-test for Poolability: 14.412
P-value: 0.0000
Distribution: F(278,8472)

Included effects: Entity, Time
