                       PanelOLS Estimation Summary                       
Dep. Variable:   ,job_destruction_rate,  R-squared:           ,0.0282    
Estimator:       ,PanelOLS            ,  R-squared (Between): ,0.2308    
No. Observations:,8279                ,  R-squared (Within):  ,0.0591    
Date:            ,Wed, Aug 10 2022    ,  R-squared (Overall): ,0.1123    
Time:            ,16:24:23            ,  Log-likelihood       ,1.259e+04 
Cov. Estimator:  ,Clustered           ,                       ,          
                 ,                    ,  F-statistic:         ,4187.8    
Entities:        ,262                 ,  P-value              ,0.0000    
Avg Obs:         ,31.599              ,  Distribution:        ,F(14,7988)
Min Obs:         ,0.0000              ,                       ,          
Max Obs:         ,35.000              ,  F-statistic (robust):,1.853e+11 
                 ,                    ,  P-value              ,0.0000    
Time periods:    ,38                  ,  Distribution:        ,F(14,7988)
Avg Obs:         ,217.87              ,                       ,          
Min Obs:         ,0.0000              ,                       ,          
Max Obs:         ,239.00              ,                       ,          
                 ,                    ,                       ,          
                                Parameter Estimates                                 
                              ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                         ,0.1558   ,0.0913   ,1.7061 ,0.0880 ,-0.0232 ,0.3348  
L_0_entry_rate_whole          ,-0.1081  ,0.0756   ,-1.4307,0.1526 ,-0.2563 ,0.0400  
L_0_log_gdp                   ,-0.1991  ,0.0564   ,-3.5326,0.0004 ,-0.3096 ,-0.0886 
L_1_entry_rate_whole          ,-0.0870  ,0.0927   ,-0.9384,0.3480 ,-0.2687 ,0.0947  
L_1_log_gdp                   ,0.0337   ,0.0554   ,0.6090 ,0.5425 ,-0.0748 ,0.1423  
L_2_entry_rate_whole          ,0.1563   ,0.1298   ,1.2041 ,0.2286 ,-0.0981 ,0.4106  
L_2_log_gdp                   ,0.0912   ,0.0374   ,2.4387 ,0.0148 ,0.0179  ,0.1646  
L_3_entry_rate_whole          ,0.0233   ,0.0663   ,0.3514 ,0.7253 ,-0.1066 ,0.1532  
L_3_log_gdp                   ,0.0520   ,0.0287   ,1.8122 ,0.0700 ,-0.0043 ,0.1083  
L_4_entry_rate_whole          ,-0.0886  ,0.0575   ,-1.5405,0.1235 ,-0.2014 ,0.0242  
L_4_log_gdp                   ,0.0552   ,0.0290   ,1.9043 ,0.0569 ,-0.0016 ,0.1120  
L_5_entry_rate_whole          ,0.1541   ,0.1101   ,1.3998 ,0.1616 ,-0.0617 ,0.3698  
L_5_log_gdp                   ,-0.0488  ,0.0308   ,-1.5829,0.1135 ,-0.1093 ,0.0116  
full_chg_restriction_2_0      ,-0.0142  ,0.0443   ,-0.3211,0.7481 ,-0.1011 ,0.0727  
pre_cohort_log_restriction_2_0,0.0152   ,0.0078   ,1.9380 ,0.0527 ,-0.0002 ,0.0305  

F-test for Poolability: 10.569
P-value: 0.0000
Distribution: F(276,7988)

Included effects: Entity, Time
