                       PanelOLS Estimation Summary                       
Dep. Variable:   ,job_destruction_rate,  R-squared:           ,0.0139    
Estimator:       ,PanelOLS            ,  R-squared (Between): ,-8.9977   
No. Observations:,3492                ,  R-squared (Within):  ,-0.0721   
Date:            ,Tue, Jul 19 2022    ,  R-squared (Overall): ,-0.2733   
Time:            ,12:27:26            ,  Log-likelihood       ,-1.579e+04
Cov. Estimator:  ,Robust              ,                       ,          
                 ,                    ,  F-statistic:         ,2.8485    
Entities:        ,17                  ,  P-value              ,0.0001    
Avg Obs:         ,205.41              ,  Distribution:        ,F(17,3424)
Min Obs:         ,0.0000              ,                       ,          
Max Obs:         ,308.00              ,  F-statistic (robust):,3.0556    
                 ,                    ,  P-value              ,0.0000    
Time periods:    ,38                  ,  Distribution:        ,F(17,3424)
Avg Obs:         ,91.895              ,                       ,          
Min Obs:         ,78.000              ,                       ,          
Max Obs:         ,109.00              ,                       ,          
                 ,                    ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-97.054  ,36.583   ,-2.6530,0.0080 ,-168.78 ,-25.328 
L_0_chg_restriction_2_0,0.1208   ,6.8333   ,0.0177 ,0.9859 ,-13.277 ,13.519  
L_0_entry_rate_whole   ,-204.62  ,52.151   ,-3.9236,0.0001 ,-306.87 ,-102.37 
L_0_log_gdp            ,-5.4291  ,6.7017   ,-0.8101,0.4179 ,-18.569 ,7.7107  
L_1_chg_restriction_2_0,2.2273   ,7.4266   ,0.2999 ,0.7643 ,-12.334 ,16.788  
L_1_entry_rate_whole   ,209.35   ,68.470   ,3.0576 ,0.0022 ,75.107  ,343.60  
L_1_log_gdp            ,0.6331   ,7.8208   ,0.0809 ,0.9355 ,-14.701 ,15.967  
L_2_chg_restriction_2_0,3.8069   ,6.1971   ,0.6143 ,0.5391 ,-8.3436 ,15.957  
L_2_entry_rate_whole   ,-58.810  ,67.507   ,-0.8712,0.3837 ,-191.17 ,73.548  
L_2_log_gdp            ,2.6053   ,7.3618   ,0.3539 ,0.7234 ,-11.829 ,17.039  
L_3_chg_restriction_2_0,3.6746   ,7.5842   ,0.4845 ,0.6281 ,-11.195 ,18.545  
L_3_entry_rate_whole   ,53.452   ,55.942   ,0.9555 ,0.3394 ,-56.230 ,163.13  
L_3_log_gdp            ,2.4317   ,8.1356   ,0.2989 ,0.7650 ,-13.519 ,18.383  
L_4_entry_rate_whole   ,-23.767  ,39.286   ,-0.6050,0.5452 ,-100.79 ,53.261  
L_4_log_gdp            ,3.3700   ,5.8719   ,0.5739 ,0.5661 ,-8.1427 ,14.883  
L_4_log_restriction_2_0,9.8528   ,3.1653   ,3.1127 ,0.0019 ,3.6467  ,16.059  
cross                  ,0.0903   ,1.1258   ,0.0802 ,0.9361 ,-2.1170 ,2.2976  
large_firm             ,1.9446   ,11.971   ,0.1624 ,0.8710 ,-21.527 ,25.416  

F-test for Poolability: 2.5519
P-value: 0.0000
Distribution: F(50,3424)

Included effects: Entity, Time
