                       PanelOLS Estimation Summary                       
Dep. Variable:   ,job_destruction_rate,  R-squared:           ,0.0062    
Estimator:       ,PanelOLS            ,  R-squared (Between): ,-1.0590   
No. Observations:,3472                ,  R-squared (Within):  ,0.0083    
Date:            ,Tue, Jul 19 2022    ,  R-squared (Overall): ,-0.0213   
Time:            ,12:27:27            ,  Log-likelihood       ,-1.552e+04
Cov. Estimator:  ,Robust              ,                       ,          
                 ,                    ,  F-statistic:         ,1.0666    
Entities:        ,17                  ,  P-value              ,0.3784    
Avg Obs:         ,204.24              ,  Distribution:        ,F(20,3402)
Min Obs:         ,0.0000              ,                       ,          
Max Obs:         ,308.00              ,  F-statistic (robust):,1.2812    
                 ,                    ,  P-value              ,0.1796    
Time periods:    ,38                  ,  Distribution:        ,F(20,3402)
Avg Obs:         ,91.368              ,                       ,          
Min Obs:         ,0.0000              ,                       ,          
Max Obs:         ,106.00              ,                       ,          
                 ,                    ,                       ,          
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
const                  ,-29.520  ,44.061   ,-0.6700,0.5029 ,-115.91 ,56.869  
L_0_chg_restriction_2_0,-4.9032  ,7.2680   ,-0.6746,0.5000 ,-19.153 ,9.3469  
L_0_entry_rate_whole   ,19.381   ,66.462   ,0.2916 ,0.7706 ,-110.93 ,149.69  
L_0_log_gdp            ,-1.7754  ,6.4853   ,-0.2738,0.7843 ,-14.491 ,10.940  
L_1_chg_restriction_2_0,7.6255   ,6.4358   ,1.1849 ,0.2362 ,-4.9929 ,20.244  
L_1_entry_rate_whole   ,-52.911  ,61.762   ,-0.8567,0.3917 ,-174.01 ,68.184  
L_1_log_gdp            ,-11.795  ,10.389   ,-1.1354,0.2563 ,-32.164 ,8.5734  
L_2_chg_restriction_2_0,1.3928   ,8.0778   ,0.1724 ,0.8631 ,-14.445 ,17.231  
L_2_entry_rate_whole   ,85.730   ,61.243   ,1.3998 ,0.1617 ,-34.347 ,205.81  
L_2_log_gdp            ,14.058   ,8.3940   ,1.6748 ,0.0941 ,-2.3997 ,30.516  
L_3_chg_restriction_2_0,-5.7484  ,6.3924   ,-0.8993,0.3686 ,-18.282 ,6.7849  
L_3_entry_rate_whole   ,-41.833  ,63.172   ,-0.6622,0.5079 ,-165.69 ,82.026  
L_3_log_gdp            ,-2.6055  ,7.6632   ,-0.3400,0.7339 ,-17.630 ,12.419  
L_4_chg_restriction_2_0,-1.6586  ,6.9410   ,-0.2390,0.8111 ,-15.268 ,11.950  
L_4_entry_rate_whole   ,3.8482   ,54.109   ,0.0711 ,0.9433 ,-102.24 ,109.94  
L_4_log_gdp            ,6.3498   ,10.671   ,0.5951 ,0.5518 ,-14.571 ,27.271  
L_5_entry_rate_whole   ,54.027   ,42.887   ,1.2598 ,0.2078 ,-30.059 ,138.11  
L_5_log_gdp            ,-4.6823  ,6.6263   ,-0.7066,0.4798 ,-17.674 ,8.3096  
L_5_log_restriction_2_0,4.5148   ,3.8173   ,1.1827 ,0.2370 ,-2.9697 ,11.999  
cross                  ,0.0357   ,1.1202   ,0.0319 ,0.9746 ,-2.1606 ,2.2320  
large_firm             ,0.6067   ,11.905   ,0.0510 ,0.9594 ,-22.736 ,23.949  

F-test for Poolability: 2.8959
P-value: 0.0000
Distribution: F(49,3402)

Included effects: Entity, Time
