                      IV-2SLS Estimation Summary                      
Dep. Variable:   ,job_destruction_rate,  R-squared:         ,0.4495   
Estimator:       ,IV-2SLS             ,  Adj. R-squared:    ,0.4305   
No. Observations:,9412                ,  F-statistic:       ,2.005e+05
Date:            ,Tue, Sep 20 2022    ,  P-value (F-stat)   ,0.0000   
Time:            ,09:53:50            ,  Distribution:      ,chi2(315)
Cov. Estimator:  ,heteroskedastic     ,                     ,         
                 ,                    ,                     ,         
                             Parameter Estimates                             
                       ,Parameter,Std. Err., T-stat,P-value,Lower CI,Upper CI
C(sector)[T.2111]      ,2.0365   ,0.5292   ,3.8484 ,0.0001 ,0.9993  ,3.0736  
C(sector)[T.2121]      ,2.0300   ,0.5312   ,3.8214 ,0.0001 ,0.9889  ,3.0712  
C(sector)[T.2122]      ,1.9634   ,0.5300   ,3.7046 ,0.0002 ,0.9246  ,3.0021  
C(sector)[T.2123]      ,1.9843   ,0.5290   ,3.7510 ,0.0002 ,0.9475  ,3.0212  
C(sector)[T.2131]      ,2.0565   ,0.5289   ,3.8886 ,0.0001 ,1.0200  ,3.0931  
C(sector)[T.2211]      ,1.9803   ,0.5438   ,3.6420 ,0.0003 ,0.9146  ,3.0461  
C(sector)[T.2212]      ,1.9907   ,0.5413   ,3.6773 ,0.0002 ,0.9297  ,3.0517  
C(sector)[T.2213]      ,1.9983   ,0.5424   ,3.6843 ,0.0002 ,0.9352  ,3.0613  
C(sector)[T.2361]      ,1.8489   ,0.4500   ,4.1089 ,0.0000 ,0.9670  ,2.7309  
C(sector)[T.2362]      ,1.7948   ,0.4510   ,3.9798 ,0.0001 ,0.9109  ,2.6788  
C(sector)[T.2371]      ,1.7795   ,0.4504   ,3.9511 ,0.0001 ,0.8968  ,2.6623  
C(sector)[T.2372]      ,1.8485   ,0.4519   ,4.0906 ,0.0000 ,0.9628  ,2.7341  
C(sector)[T.2373]      ,1.7701   ,0.4514   ,3.9212 ,0.0001 ,0.8853  ,2.6549  
C(sector)[T.2379]      ,1.8220   ,0.4521   ,4.0303 ,0.0001 ,0.9359  ,2.7080  
C(sector)[T.2381]      ,1.8277   ,0.4508   ,4.0542 ,0.0001 ,0.9441  ,2.7113  
C(sector)[T.2382]      ,1.7633   ,0.4500   ,3.9184 ,0.0001 ,0.8813  ,2.6452  
C(sector)[T.2383]      ,1.8243   ,0.4503   ,4.0514 ,0.0001 ,0.9418  ,2.7069  
C(sector)[T.2389]      ,1.8011   ,0.4501   ,4.0019 ,0.0001 ,0.9190  ,2.6833  
C(sector)[T.3111]      ,2.4257   ,0.6595   ,3.6782 ,0.0002 ,1.1332  ,3.7182  
C(sector)[T.3112]      ,2.3862   ,0.6607   ,3.6115 ,0.0003 ,1.0912  ,3.6812  
C(sector)[T.3113]      ,2.4163   ,0.6609   ,3.6561 ,0.0003 ,1.1210  ,3.7116  
