,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,-0.01305108411561192,-0.02299991842223753,-0.0031022498089863116,True
3,cross,2,-0.006671889952496546,-0.013418149698626442,7.436979363334862e-05,False
6,cross,3,-0.007740410221805168,-0.013797941493515594,-0.0016828789500947404,True
9,cross,4,-0.007408849540249384,-0.013069502331405067,-0.0017481967490936999,True
12,cross,5,-0.005613283233717435,-0.011110045321253852,-0.00011652114618101832,True
2,large_firm,1,-0.10467270674966105,-0.21210440282998644,0.0027589893306643604,False
5,large_firm,2,-0.08918950165510918,-0.1617491697755083,-0.016629833534710065,True
8,large_firm,3,-0.04949749103400854,-0.11457926365683192,0.01558428158881485,False
11,large_firm,4,-0.03628324885766311,-0.09721940701177105,0.024652909296444828,False
14,large_firm,5,-0.043657888405632325,-0.10191135607775677,0.014595579266492117,False
1,pre_cohort_log_restriction_2_0,1,0.017626758385509082,-0.04559214231113782,0.08084565908215599,False
4,pre_cohort_log_restriction_2_0,2,0.0175098565916093,-0.032706206133359624,0.06772591931657823,False
7,pre_cohort_log_restriction_2_0,3,0.01666038374008367,-0.03188426932917175,0.06520503680933909,False
10,pre_cohort_log_restriction_2_0,4,0.018715329155122837,-0.02920839634559302,0.06663905465583869,False
13,pre_cohort_log_restriction_2_0,5,0.015280339177868103,-0.03470226113570152,0.06526293949143772,False
