,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,-0.013087979080839848,-0.022871143520910485,-0.0033048146407692117,True
3,cross,2,-0.009620604541477564,-0.01632206286087895,-0.002919146222076176,True
6,cross,3,-0.008020136238399887,-0.013853347189669536,-0.00218692528713024,True
9,cross,4,-0.006946777095529927,-0.012222680498287057,-0.0016708736927727964,True
12,cross,5,-0.004560146808506921,-0.009434913859425183,0.00031462024241134083,False
2,large_firm,1,-0.10371255599368451,-0.20892588729638145,0.0015007753090124504,False
5,large_firm,2,-0.058129157764502434,-0.13015180992616693,0.013893494397162073,False
8,large_firm,3,-0.045079790616417814,-0.10789478578860115,0.01773520455576552,False
11,large_firm,4,-0.03901216699664472,-0.09573724408005531,0.01771291008676587,False
14,large_firm,5,-0.05285035345304209,-0.10455417699632022,-0.001146529909763959,True
1,pre_cohort_log_restriction_2_0,1,0.021377317146841622,-0.036686267546573885,0.07944090184025712,False
4,pre_cohort_log_restriction_2_0,2,0.020334050806180715,-0.025469108317109832,0.06613720992947127,False
7,pre_cohort_log_restriction_2_0,3,0.016747106921362807,-0.026119128239540507,0.059613342082266124,False
10,pre_cohort_log_restriction_2_0,4,0.013005348655778966,-0.031656647691029056,0.05766734500258699,False
13,pre_cohort_log_restriction_2_0,5,0.004730657652370355,-0.04049670281872049,0.049958018123461206,False
