,name,age,Coef,lower_ci,upper_ci,significance
1,full_chg_restriction_2_0,1,-0.2283562030482809,-0.7652925166176412,0.3085801105210795,False
3,full_chg_restriction_2_0,2,-0.7919453034703713,-2.143545536052004,0.5596549291112617,False
5,full_chg_restriction_2_0,3,0.5914931181779527,-1.4386636789960914,2.6216499153519965,False
7,full_chg_restriction_2_0,4,0.4688509405389577,-2.734661859277182,3.672363740355097,False
9,full_chg_restriction_2_0,5,0.11566080103727475,-3.945678056015442,4.176999658089992,False
0,pre_cohort_log_restriction_2_0,1,-0.08763818333512659,-0.8354479151293862,0.660171548459133,False
2,pre_cohort_log_restriction_2_0,2,-0.6891761168350004,-1.3567153780279453,-0.021636855642055308,True
4,pre_cohort_log_restriction_2_0,3,-0.23413716000112436,-1.165220423667677,0.6969461036654283,False
6,pre_cohort_log_restriction_2_0,4,-0.3694910949425207,-1.7181602935581812,0.9791781036731397,False
8,pre_cohort_log_restriction_2_0,5,-0.26048733772548005,-1.5191460497514164,0.9981713743004562,False
