,name,age,Coef,lower_ci,upper_ci,significance
1,full_chg_restriction_2_0,1,3.919184188257766,2.012421233972713,5.825947142542819,True
3,full_chg_restriction_2_0,2,8.785801180168143,4.322378175990629,13.249224184345657,True
5,full_chg_restriction_2_0,3,11.841321332524988,5.924033405462036,17.75860925958794,True
7,full_chg_restriction_2_0,4,10.744072155004043,8.239951034451714,13.248193275556371,True
9,full_chg_restriction_2_0,5,12.20516191597283,7.2417802579657655,17.168543573979896,True
0,pre_cohort_log_restriction_2_0,1,0.8321310327368798,-1.8982760266085985,3.562538092082358,False
2,pre_cohort_log_restriction_2_0,2,1.0428916642599335,-0.7049352186851197,2.7907185472049867,False
4,pre_cohort_log_restriction_2_0,3,1.2780523649355295,-0.5381939263656998,3.094298656236759,False
6,pre_cohort_log_restriction_2_0,4,1.877075852783011,-0.02927394294530239,3.783425648511324,False
8,pre_cohort_log_restriction_2_0,5,1.6638279626760084,-0.5635336121824597,3.8911895375344763,False
