,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,-0.017146715048310477,-0.03277631786225925,-0.0015171122343617081,True
3,cross,2,-0.02645059553672861,-0.03893662906568097,-0.013964562007776253,True
6,cross,3,-0.01781362509950636,-0.02886094233998581,-0.0067663078590269096,True
9,cross,4,-0.014316056267054223,-0.022858700172743104,-0.0057734123613653425,True
12,cross,5,-0.008018798377428067,-0.016629767377556337,0.0005921706227002017,False
2,large_firm,1,-0.09691534188428402,-0.260818637093518,0.06698795332494994,False
5,large_firm,2,0.11376797146941534,-0.02577592931702366,0.25331187225585433,False
8,large_firm,3,0.06703271418871154,-0.0528373243052289,0.186902752682652,False
11,large_firm,4,0.04091859628316069,-0.050927766393921645,0.13276495896024304,False
14,large_firm,5,-0.006860577220666354,-0.09808837915898717,0.08436722471765447,False
1,pre_cohort_log_restriction_2_0,1,0.027147916880170875,-0.04362098212095582,0.09791681588129757,False
4,pre_cohort_log_restriction_2_0,2,0.02603299914128386,-0.02825439759938768,0.0803203958819554,False
7,pre_cohort_log_restriction_2_0,3,0.02395289681049019,-0.026352767728869436,0.07425856134984982,False
10,pre_cohort_log_restriction_2_0,4,0.022764896547550657,-0.030511667513827924,0.07604146060892925,False
13,pre_cohort_log_restriction_2_0,5,0.009657292965599779,-0.0442509688485182,0.06356555477971776,False
