,name,age,Coef,lower_ci,upper_ci,significance
1,full_chg_restriction_2_0,1,-114.57771842290524,-420.5517621145376,191.3963252687271,False
3,full_chg_restriction_2_0,2,52.90333548295213,-438.32615693218725,544.1328278980915,False
5,full_chg_restriction_2_0,3,237.2652605989037,-306.7507612170735,781.2812824148809,False
7,full_chg_restriction_2_0,4,156.7799008848632,-331.2878746167495,644.8476763864759,False
9,full_chg_restriction_2_0,5,133.72363282776922,-416.1422205450403,683.5894862005787,False
0,pre_cohort_log_restriction_2_0,1,319.23198207092923,-36.4691952817995,674.933159423658,False
2,pre_cohort_log_restriction_2_0,2,219.0718641768326,-25.196934439671168,463.3406627933364,False
4,pre_cohort_log_restriction_2_0,3,169.85223892016313,-17.211913272478455,356.9163911128047,False
6,pre_cohort_log_restriction_2_0,4,104.37706217671386,-18.99054422238096,227.7446685758087,False
8,pre_cohort_log_restriction_2_0,5,63.15304724437962,-40.84113199306971,167.14722648182897,False
