,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,31.439052776505577,-326.2205537194494,389.0986592724606,False
3,cross,2,-2.8605302902415066,-188.75011006024494,183.0290494797619,False
6,cross,3,11.681333690986314,-113.15891377864651,136.52158116061912,False
9,cross,4,-30.21539396340234,-132.9851154525878,72.55432752578312,False
12,cross,5,-39.207257017834856,-122.27813026970637,43.86361623403665,False
2,large_firm,1,-5353.752929933691,-9274.725692064703,-1432.7801678026785,True
5,large_firm,2,-2730.414704136642,-4771.791186014816,-689.0382222584676,True
8,large_firm,3,-1876.5346403437065,-3250.4255609701877,-502.6437197172254,True
11,large_firm,4,-1032.972165903707,-2122.424268150383,56.47993634296881,False
14,large_firm,5,-684.8133185116496,-1559.2342853841908,189.60764836089152,False
1,pre_cohort_log_restriction_2_0,1,2011.3913383348818,-511.9829494680166,4534.76562613778,False
4,pre_cohort_log_restriction_2_0,2,1096.0013548163652,-414.34992126981615,2606.3526309025465,False
7,pre_cohort_log_restriction_2_0,3,932.2789966786968,-322.4447408032561,2187.0027341606497,False
10,pre_cohort_log_restriction_2_0,4,616.3246102302184,-367.19364803613905,1599.8428684965756,False
13,pre_cohort_log_restriction_2_0,5,458.7415492988922,-457.1905160997188,1374.6736146975031,False
