,name,age,Coef,lower_ci,upper_ci,significance
1,full_chg_restriction_2_0,1,0.010399354964982923,-0.014232445983831624,0.03503115591379747,False
3,full_chg_restriction_2_0,2,-0.010451759118636161,-0.05446809016912512,0.0335645719318528,False
5,full_chg_restriction_2_0,3,-0.025924551951780676,-0.05635416847453899,0.00450506457097764,False
7,full_chg_restriction_2_0,4,0.002466138229010933,-0.04832016772664995,0.05325244418467182,False
9,full_chg_restriction_2_0,5,-0.008800045529240066,-0.05975607748613188,0.04215598642765175,False
0,pre_cohort_log_restriction_2_0,1,0.021772933419990797,-0.02124951664153189,0.06479538348151348,False
2,pre_cohort_log_restriction_2_0,2,0.009326197238076473,-0.012037420928544582,0.030689815404697528,False
4,pre_cohort_log_restriction_2_0,3,0.0024981449376685204,-0.013326327858733923,0.018322617734070963,False
6,pre_cohort_log_restriction_2_0,4,0.012400717221370653,-0.00966357642565691,0.03446501086839822,False
8,pre_cohort_log_restriction_2_0,5,-0.0032828396069776015,-0.01834466347813211,0.011778984264176907,False
