,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.03272672929975543,0.009204631530923747,0.056248827068587116,True
3,cross,2,0.009521568472934555,-0.009057639828230392,0.0281007767740995,False
6,cross,3,0.013576188437350064,0.000996486135353936,0.02615589073934619,True
9,cross,4,0.007313497974316443,-0.004670480420507993,0.01929747636914088,False
12,cross,5,-0.005293884287813446,-0.020404701480367774,0.009816932904740883,False
2,large_firm,1,-0.3115119329668163,-0.5661973505752973,-0.05682651535833533,True
5,large_firm,2,-0.062141116049370164,-0.2643453010517241,0.14006306895298376,False
8,large_firm,3,-0.12667376359573126,-0.26270439479135776,0.009356867599895208,False
11,large_firm,4,-0.040375856187212025,-0.16874465806758626,0.0879929456931622,False
14,large_firm,5,0.08958914259544816,-0.07493651637699338,0.2541148015678897,False
1,pre_cohort_log_restriction_2_0,1,-0.0001398879933175117,-0.022754712401345634,0.022474936414710607,False
4,pre_cohort_log_restriction_2_0,2,-0.003234042752490112,-0.01224749632702321,0.005779410822042988,False
7,pre_cohort_log_restriction_2_0,3,-0.0027585020911274887,-0.009959433096320577,0.004442428914065599,False
10,pre_cohort_log_restriction_2_0,4,0.0025518736732487923,-0.004426789527622604,0.009530536874120189,False
13,pre_cohort_log_restriction_2_0,5,0.004058947040758405,-0.0037393092469983112,0.011857203328515122,False
