,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,3.292679952666412,0.7775237467453944,5.807836158587429,True
3,cross,2,0.6472714915413373,-1.5482414720852913,2.842784455167966,False
6,cross,3,1.763578334742523,0.5800472237957317,2.947109445689314,True
9,cross,4,1.7957042507764918,0.4348971983658432,3.1565113031871403,True
12,cross,5,-0.7908515126545127,-2.5531268084727383,0.971423783163713,False
2,large_firm,1,-30.846270693653647,-58.05616827536528,-3.6363731119420173,True
5,large_firm,2,-1.9224495819448797,-25.852267099201605,22.007367935311848,False
8,large_firm,3,-15.064100344033653,-27.453546000356397,-2.674654687710909,True
11,large_firm,4,-13.690894159064477,-28.383002375183985,1.00121405705503,False
14,large_firm,5,13.527792586917975,-5.5563832407708205,32.61196841460677,False
1,pre_cohort_log_restriction_2_0,1,0.059870293158515386,-2.351521016298225,2.4712616026152556,False
4,pre_cohort_log_restriction_2_0,2,-0.37548433692147853,-1.3405317107167214,0.5895630368737644,False
7,pre_cohort_log_restriction_2_0,3,-0.27961640502675444,-1.0629215040027447,0.5036886939492358,False
10,pre_cohort_log_restriction_2_0,4,-0.38209131479435526,-1.2604037825886634,0.4962211529999528,False
13,pre_cohort_log_restriction_2_0,5,-0.6869041790366145,-1.6669177286904955,0.2931093706172665,False
