,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,-0.02519390148835803,-0.0427759296923396,-0.007611873284376458,True
3,cross,2,-0.020002430292315722,-0.03941669022285456,-0.0005881703617768817,True
6,cross,3,-0.01684109054655673,-0.03451383849362355,0.0008316574005100934,False
9,cross,4,-0.0057448272771322565,-0.01725125496583884,0.005761600411574326,False
12,cross,5,0.0021531643210563143,-0.009636207627229847,0.013942536269342476,False
2,large_firm,1,0.03003294147914846,-0.1615533557642305,0.2216192387225274,False
5,large_firm,2,0.09516367830818737,-0.11440106483950738,0.3047284214558821,False
8,large_firm,3,0.06973791884637634,-0.12746357569634165,0.2669394133890943,False
11,large_firm,4,-0.05641281478820056,-0.17775263301219058,0.06492700343578944,False
14,large_firm,5,-0.1237010989150556,-0.24678542127129752,-0.0006167765588136753,True
1,pre_cohort_log_restriction_2_0,1,0.03269205810572676,-0.011758682401193939,0.07714279861264745,False
4,pre_cohort_log_restriction_2_0,2,0.026872483478870487,-0.012958759664604365,0.06670372662234533,False
7,pre_cohort_log_restriction_2_0,3,0.033862844054873886,-0.007701606248847817,0.07542729435859559,False
10,pre_cohort_log_restriction_2_0,4,0.029389756726147218,-0.016617953244550437,0.07539746669684487,False
13,pre_cohort_log_restriction_2_0,5,0.021732244564953648,-0.026489109325733538,0.06995359845564084,False
