,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,-0.009750756276336,-0.06437788412034057,0.04487637156766856,False
3,cross,2,-0.02622355444444411,-0.07900928005016186,0.026562171161273636,False
6,cross,3,-0.026123285018503258,-0.07319966529576537,0.020953095258758853,False
9,cross,4,-0.014113093006010453,-0.057438580977555886,0.029212394965534984,False
12,cross,5,-0.023376039430652473,-0.06896368284614221,0.022211603984837257,False
2,large_firm,1,0.11667260766510348,-0.48560125605378845,0.7189464713839954,False
5,large_firm,2,0.28968198164756387,-0.2908595562787669,0.8702235195738947,False
8,large_firm,3,0.29305563715103444,-0.22287471173496054,0.8089859860370294,False
11,large_firm,4,0.1982833941280992,-0.27389473867875475,0.6704615269349532,False
14,large_firm,5,0.3146171068965301,-0.18076784567893922,0.8100020594719994,False
1,pre_cohort_log_restriction_2_0,1,0.0018323654259225744,-0.00703704315753474,0.010701774009379888,False
4,pre_cohort_log_restriction_2_0,2,0.007986234236566605,-0.0028975237058102045,0.018869992178943414,False
7,pre_cohort_log_restriction_2_0,3,-0.0009841984721816943,-0.012181213220955868,0.010212816276592481,False
10,pre_cohort_log_restriction_2_0,4,0.0012097563537010491,-0.012028421427813284,0.014447934135215381,False
13,pre_cohort_log_restriction_2_0,5,-0.0031420623301522616,-0.018722347588782346,0.012438222928477825,False
