,name,age,Coef,lower_ci,upper_ci,significance
0,curr_chg_restriction_2_0,1,-0.2113693593714902,-0.3133568188001884,-0.10938189994279199,True
3,curr_chg_restriction_2_0,2,0.015037955682625476,-0.17703040859571395,0.2071063199609649,False
7,curr_chg_restriction_2_0,3,0.08147457075705199,-0.07478480774425976,0.23773394925836372,False
11,curr_chg_restriction_2_0,4,0.02259032980936459,-0.1759018585490653,0.22108251816779448,False
15,curr_chg_restriction_2_0,5,-0.024385664425754468,-0.15082249653848132,0.1020511676869724,False
1,enter_chg_restriction_2_0,1,0.11713550215633649,-0.022316065026062218,0.2565870693387352,False
5,enter_chg_restriction_2_0,2,0.03900784382381845,-0.12988350516586356,0.20789919281350044,False
9,enter_chg_restriction_2_0,3,0.03206322559103601,-0.168300557756766,0.232427008938838,False
13,enter_chg_restriction_2_0,4,0.044666843008682115,-0.09248226106125743,0.18181594707862167,False
17,enter_chg_restriction_2_0,5,0.06268342037329637,-0.08731072438931177,0.21267756513590452,False
4,life_chg_restriction_2_0,2,-0.15680442235011297,-0.28383446528795,-0.02977437941227598,True
8,life_chg_restriction_2_0,3,-0.15108363081469933,-0.30764917649126916,0.005481914861870496,False
12,life_chg_restriction_2_0,4,-0.1767007850754571,-0.4151448977722106,0.06174332762129636,False
16,life_chg_restriction_2_0,5,-0.032242900405177334,-0.2716826825926787,0.20719688178232404,False
2,pre_cohort_log_restriction_2_0,1,0.0021069966695886812,-0.014707004674523063,0.018920998013700424,False
6,pre_cohort_log_restriction_2_0,2,-0.016647805750319822,-0.03254118271435337,-0.0007544287862862702,True
10,pre_cohort_log_restriction_2_0,3,-0.012305274356707498,-0.04660178128485486,0.021991232571439857,False
14,pre_cohort_log_restriction_2_0,4,-0.008603584982077158,-0.02669513832015869,0.009487968356004376,False
18,pre_cohort_log_restriction_2_0,5,-0.012788755925431619,-0.03389595181408332,0.008318439963220087,False
