,name,age,Coef,lower_ci,upper_ci,significance
0,cross,1,0.03686699438343459,-0.017268468088507315,0.0910024568553765,False
3,cross,2,0.02937448989019438,-0.03134085367242604,0.0900898334528148,False
6,cross,3,0.03804400134039343,-0.007947992585459071,0.08403599526624593,False
9,cross,4,0.04675551971647814,-0.004525666343791576,0.09803670577674786,False
12,cross,5,0.031647265494420464,-0.02156619543512952,0.08486072642397044,False
2,large_firm,1,-0.44036021227864297,-1.0341097409547602,0.15338931639747422,False
5,large_firm,2,-0.3672088984689663,-1.034699119884229,0.3002813229462963,False
8,large_firm,3,-0.45966356128188196,-0.9582784287774948,0.03895130621373083,False
11,large_firm,4,-0.5781431063541945,-1.1345835144767324,-0.021702698231656603,True
14,large_firm,5,-0.43450006176882205,-1.0063561212625962,0.1373559977249521,False
1,pre_cohort_log_restriction_2_0,1,-0.0005721459532869029,-0.009761309390687528,0.008617017484113724,False
4,pre_cohort_log_restriction_2_0,2,-0.0007562844727109868,-0.013127378323154146,0.011614809377732174,False
7,pre_cohort_log_restriction_2_0,3,-0.0010323506466036639,-0.015111400210756715,0.013046698917549386,False
10,pre_cohort_log_restriction_2_0,4,-0.0010160994921817772,-0.01682080602120993,0.014788607036846375,False
13,pre_cohort_log_restriction_2_0,5,0.0026571157462522152,-0.014747400818293038,0.020061632310797467,False
